cligs_id,location,country,periode,link
tc0166,Séville,Espagne,XIème,
tc0486,Paris,France,XVIIIème,
tc0785,Thèbes,Grèce,Temps mythologiques,
tc0363,Province,France,XVIIIème,
tc0060,Paris,France,XVIIIème,
tc0013,France,France,XVIIIème,
tc0782,Messène,Grèce,Temps mythologiques,
tc0367,France,France,XVIIIème,
tc0255,Paris,France,XVIIème,
tc0538,(non indiqué),France,XVIIIème,
tc0014,Parnasse,Pays mythologique,XVIIIème,
tc0633,Augsbourg,Allemagne,XVIème,
tc0041,Séville,Espagne,XVIIIème,
tc0070,Paris,France,XVIIIème,
tc0235,Byzance,Turquie,Temps mythologiques,
tc0716,Paris,France,XVIIème,
tc0330,Paris,France,XVIIIème,
tc0006,Paris,France,XVIIIème,
tc0380,Halicarnasse,Turquie,IIème avant JC,
tc0053,Lyon,France,XVIIème,
tc0531,France,France,XVIIIème,
tc0425,Paris,France,XVIIIème,
tc0751,Syracuse,Sicile,Temps mythologiques,
tc0539,France,France,XVIIIème ,
tc0407,Paris,France,XVIIème,
tc0498,Grèce,Grèce,Temps mythologiques,
tc0519,Lieu féérique,(non indiqué),Temps mythologiques,
tc0219,Marseille,France,IVème avant JC,
tc0031,France,France,VIème,
tc0182,Thèbes,Grèce,Temps mythologiques,
tc0039,Paris,France,XVIIIème,
tc0387,(non indiquée),Iran,Vème avant JC,
tc0275,Paris,France,XVIIème,
tc0759,Paris,France,XVIIIème,
tc0489,Suze,Iran,Vème avant JC,
tc0673,Paris,France,XVIIème,
tc0549,Paris,France,XVIIème,
tc0702,Lieu mythologique,Pays mythologique,Temps mythologiques,
tc0312,Sierre Morena,Espagne,XVIème,
tc0715,Paris,France,XVIIIème,
tc0695,(non indiqué),Grèce,(inconnue),
tc0644,Lieu mythologique,Pays mythologique,Temps mythologiques,
tc0093,Mycènes,Grèce,temps mythologiques,
tc0099,Arcadie,Grèce,Temps mythologiques,
tc0564,Sicile,Italie,XVIIème,
tc0142,France,France,XVIIIème,
tc0614,France,France,XVIIIème,
tc0000,Nauplie,Grèce,IIème avant JC,
tc0213,Madrid,Espagne,XVIIème,
tc0463,Paris,France,XVIIIème,
tc0355,Île enchantée,Pays imaginaire,XVIIème,
tc0191,Lyon,France,XVIIème,
tc0184,Milan,Italie,VIIème,
tc0286,À la campagne,France,XVIIème,
tc0066,Barcelone,Espagne,XVIIème,
tc0499,Pazagardes,Iran,Vème avant JC,
tc0647,Antioche,Turquie,IIIème avant JC,
tc0115,Constantinople,Turquie,XIVème,
tc0113,Rome,Italie,Vème avant JC,
tc0360,Thionville,France,XVIIIème,
tc0351,France,France,XVIIème,
tc0326,Boulogne,France,XVIIème,
tc0365,Paris,France,XVIIIème,
tc0778,Château d'Apamée,Syrie,(inconnue),
tc0155,Paris,France,XVIIème,
tc0438,Trézène,Grèce,Temps mythologiques,
tc0156,Paris,France,XVIIIème,
tc0029,Ghelé,Belgique,XVIIème,
tc0703,Rome,Italie,IVème,
tc0336,Lieu mythologique,Pays mythologique,Temps mythologiques,
tc0257,Auteuil,France,XVIIème,
tc0755,Constantinople,Turquie,Ier avant JC,
tc0630,Carthage,Tunisie,IIIème avant JC,
tc0019,Paris,France,XVIIIème,
tc0750,Lieu biblique,Pays biblique,Temps bibliques,
tc0402,Paris,France,XVIIIème,
tc0405,Mycenes,Grèce,IVème avant JC,
tc0323,Rome,Italie,XVIIIème,
tc0585,Abdere,Grèce,Temps mythologiques,
tc0141,Paris,France,XVIIIème,
tc0224,(non indiqué),Grèce,Temps mythologiques,
tc0653,Jérusalem,Israël,Temps bibliques,
tc0769,Rome,Italie,VIème avant JC,
tc0511,Paris,France,XVIIIème,
tc0399,Lieu mythologique,Pays mythologique,Temps mythologiques,
tc0503,Galatie,Turquie,Vème avant JC,
tc0420,Sicile,Italie,XVIIIème,
tc0766,Syracuse,Italie,IVème avant JC,
tc0299,Gaillardin,France,XVIIème,
tc0598,Paris,France,XVIIème,
tc0792,Rome,Italie,Ier avant JC,
tc0648,Athènes,Grèce,Temps mythologiques,
tc0441,Paris,France,XVIIème,
tc0338,France,France,XVIIIème,
tc0793,Gaza,Israël,Temps bibliques,
tc0746,Samarcande,France,XIVème,
tc0370,Paris,France,XVIIIème,
tc0547,En province,France,XVIIIème,
tc0227,(non indiqué),Italie,VIème,
tc0737,Palerme,Italie,VIème,
tc0639,Tolède,Espagne,XVIIème,
tc0269,France,France,XVIIème,
tc0185,Paris,France,XVIIème,
tc0202,Brie,France,(inconnue),
tc0177,Corinthe,Grèce,Temps mythologiques,
tc0157,Paris,France,XVIIème,
tc0044,Vienne,Autriche,XVIIIème,
tc0301,Suresnes,France,XVIIème,
tc0015,Dans un bois,France,XVIIIème,
