cligs_id,location,country,periode,link
tc0056,Le Bourget,France,XVIIème,
tc0743,Paris,France,XVIIème,
tc0094,Thèbes,Grèce,Temps mythologiques,
tc0071,Paris,France,XVIIIème,
tc0576,Paris,France,XVIIème,
tc0143,France,France,XVIIIème,
tc0348,Paris,France,XVIIème,
tc0462,Château-Thierry,France,XVIIème,
tc0454,Île de Salamandros,(inconnu),XVIIIème,
tc0246,Paris,France,XVIIème,
tc0390,Bordeaux,France,XVIIIème,
tc0777,La Mecque,Arabie Saoudite,VIIème,
tc0551,Paris,France,XVIIème,
tc0515,France,France,XVIIIème ,
tc0541,(non indiqué),(non indiqué),Temps mythologiques,
tc0479,Paris,France,XVIIème,
tc0719,Palerme,Italie,(inconnue),
tc0372,Paris,France,XVIIIème,
tc0604,Bagdad,Irak,XVIIIème,
tc0514,(non indiqué),France,XVIIIème,
tc0153,Paris,France,XVIIème,
tc0641,Lieu mythologique,Pays mythologique,Temps mythologiques,
tc0553,Angoulême,France,XVIIème,
tc0359,Paris,France,XVIIIème,
tc0632,Babylone,Perse,IVème avant JC,
tc0495,Paris,France,XVIIIème,
tc0610,Hollande,Pays-Bas,XVIIIème,
tc0555,(non indiqué),France,XVIIème,
tc0487,Fleuve de l'Ennui,Lieu Mythologique,XVIIIème,
tc0535,Olympe,Pays mythologique,XVIIIème,
tc0631,Zama,Tunisie,IIIème avant JC,
tc0685,(indéterminé),France,XVIIIème,
tc0453,Lyon,France,XVIIIème,
tc0666,Thrace,Grèce,Temps mythologiques,
tc0580,Sicile,Italie,XVIIème,
tc0448,Londres,Angleterre,XVIème,
tc0345,Paris,France,XVIIIème,
tc0504,Marseille,France,XVIIème,
tc0745,Paris,France,XVIIème,
tc0073,Paris,France,XVIIIème,
tc0276,France,France,XVIIème,
tc0021,Paris,France,XVIIIème,
tc0061,Alesia,France,Ier avant JC,
tc0084,Lieu mythologique,Pays mythologique,Temps mythologiques,
tc0076,Champagne,France,XVIIIème,
tc0786,Éphèse,Turquie,IVème avant JC,
tc0364,Paris,France,XVIIIème,
tc0758,France,France,XVIIIème,
tc0434,France,France,XVIIIème,
tc0427,Paris,France,XVIIIème,
tc0432,France,France,XVIIIème,
tc0332,Barostan,Pays imaginaire,Période imaginaire,
