,idno,author-short,title-short,title-full,year-performance,genre,subgenre,subgenre-simple,structure,form,decade,location,country,periode
tc0231,tc0231,Poisson,Sot-vengé,Le sot vengé,1661,drama,Comédie,comédie,un acte,vers,1660s,Paris,France,XVIIème
tc0234,tc0234,Boissy,Je-ne-sais-quoi,Le je ne sais quoi,(inconnue),drama,Comédie,comédie,un acte,vers,(inconnue0s,Un désert,France,XVIIIème
tc0238,tc0238,CarbonDeFlins,Réveil-épiménide,Le réveil d'épiménide à paris comédie en un acte,1790,drama,Comédie,comédie,un acte,vers,1790s,Paris,France,XVIIIème
tc0241,tc0241,Aude,École-tragique,L'école tragique,N/A,drama,Comédie,comédie,un acte,mixte,N/0s,Paris,France,XIXème
tc0243,tc0243,Regnard,Critique-légataire,La critique du légataire,1708,drama,Comédie,comédie,un acte,prose,1700s,(indéterminé),France,XVIIIème
tc0244,tc0244,Rousseau,Prisonniers-guerre,Les prisonniers de guerre,1747,drama,Comédie,comédie,un acte,prose,1740s,Hongrie,Hongrie,XVIIIème
tc0245,tc0245,Scarron,Héritier-ridicule,L'héritier ridicule ou la dame intéressée,1659,drama,Comédie,comédie,cinq actes,vers,1650s,Madrid,Espagne,XVIIème
tc0246,tc0246,TristanLHermite,Parasite,Le parasite,1654,drama,Comédie,comédie,cinq actes,vers,1650s,Paris,France,XVIIème
tc0249,tc0249,Anonyme,Oh-voilà-bien,Oh ! voilà bien le diable ! comédie,(non représentée),drama,Comédie,comédie,un acte,mixte,(non représentée0s,Sèves,France,XVIIIème
tc0254,tc0254,Molière,École-maris,L'école des maris,1661,drama,Comédie,comédie,trois actes,vers,1660s,Paris,France,XVIIème
tc0255,tc0255,Dancourt,Fonds-perdus,Les fonds perdus,1686,drama,Comédie,comédie,trois actes,prose,1680s,France,France,XVIIème
tc0256,tc0256,Cérou,Amant-auteur-valet,L'amant auteur et valet,1740,drama,Comédie,comédie,deux actes,prose,1740s,Paris,France,XVIIIème
tc0262,tc0262,PalissotDeMontenoy,Cercle-originaux,Le cercle ou les originaux,1755,drama,Comédie,comédie,"un acte, un prologue",prose,1750s,Paris,France,XVIIIème
tc0263,tc0263,SaintEvremond,Comédie-académiciens,La comédie des académiciens,(non représentée),drama,Comédie,comédie,trois actes,vers,(non représentée0s,Paris,France,XVIIème
tc0265,tc0265,Goullinet,Trois-aveugles,Les trois aveugles,1782,drama,Comédie,comédie,un acte,prose,1780s,À la Campagne,France,XVIIIème
tc0267,tc0267,Archambault,Jocrisse,Jocrisse changé de condition,1794,drama,Comédie,comédie,deux actes,prose,1790s,Paris,France,XVIIIème
tc0268,tc0268,Lesage,Crispin,Crispin un rival de son maitre,1707,drama,Comédie,comédie,un acte,prose,1700s,Paris,France,XVIIIème
tc0272,tc0272,Marivaux,Fausses-confidences,Les fausses confidences,1737,drama,Comédie,comédie,trois actes,prose,1730s,(non indiqué),France,XVIIIème
tc0273,tc0273,Beaunoir,Amour-quêteur,L'amour quêteur,1777,drama,Comédie,comédie,deux actes,prose,1770s,Paris,France,XVIIIème
tc0276,tc0276,Marchadier,Plaisir,Le plaisir,1747,drama,Comédie,comédie,un acte,vers,1740s,Paris,France,XVIIIème
tc0283,tc0283,DonneauDeVisé,Vengeance-marquis,La vengeance des marquis,1663,drama,Comédie,comédie,un acte,prose,1660s,Paris,France,XVIIème
tc0287,tc0287,Dancourt,Désolation-joueuses,La désolation des joueuses,1687,drama,Comédie,comédie,un acte,prose,1680s,Paris,France,XVIIème
tc0289,tc0289,CorneilleT,Geôlier-soi-même,Le geôlier de soi-même,1655,drama,Comédie,comédie,cinq actes,vers,1650s,Naples,Italie,(inconnue)
tc0291,tc0291,Coupigny,Arlequin-jaloux,Arlequin jaloux,1797,drama,Comédie,comédie,un acte,prose,1790s,Paris,France,XVIIIème
tc0292,tc0292,Marivaux,Arlequin-poli-amour,Arlequin poli par l'amour,1720,drama,Comédie,comédie,un acte,prose,1720s,Lieu féerique,(non indiqué),Temps féeriques
tc0294,tc0294,Anonyme,Bonnes-gens,Les bonnes gens,(non représentée),drama,Comédie,comédie,un acte,vers,(non représentée0s,Dans un bois,Pologne,XVIIIème
tc0295,tc0295,Boursault,Mort-vivant,Le mort vivant,1662,drama,Comédie,comédie,trois actes,vers,1660s,Séville,Espagne,XVIIème
tc0297,tc0297,LeBoulangerDeChalussay,Élomire-hypocondre,Elomire hypocondre ou les médecins vengés,N/A,drama,Comédie,comédie,cinq actes,vers,N/0s,Paris,France,XVIIème
tc0298,tc0298,Regnard,Marchand-ridicule,Le marchand ridicule,1695,drama,Comédie,comédie,un acte,prose,1690s,Paris,France,XVIIème
tc0301,tc0301,Molière,Comtesse-Escarbagnas,La comtesse d'escarbagnas,N/A,drama,Comédie,comédie,un acte,prose,N/0s,Angoulême,France,XVIIème
tc0303,tc0303,Regnard,Critique-homme,La critique de l'homme à bonnes fortunes,1690,drama,Comédie,comédie,un acte,prose,1690s,Paris,France,XVIIème
tc0305,tc0305,LaFosse,École-raison,L'école de la raison,1739,drama,Comédie,comédie,un acte,vers,1730s,Rome,Italie,IVème
tc0306,tc0306,NivelleDeLaChaussée,Préjugé-mode,Le préjugé à la mode,1735,drama,Comédie,comédie,cinq actes,vers,1730s,Urval,France,XVIIIème
tc0309,tc0309,Dancourt,Comédie-comédiens,La comédie des comédiens,1710,drama,Comédie,comédie,cinq actes,mixte,1710s,Paris,France,XVIIIème
tc0312,tc0312,Marivaux,Double-inconstance,La double inconstance,1723,drama,Comédie,comédie,trois actes,prose,1720s,(non indiqué),France,XVIIIème
tc0316,tc0316,Mareschal,Véritable-Matamore,Le véritable capitan matamore ou le fanfaron,(inconnu),drama,Comédie,comédie,cinq actes,vers,(inconnu0s,Paris,France,XVIIème
