,idno,author-short,title-short,title-full,year-performance,genre,subgenre,subgenre-simple,structure,form,decade,location,country,periode
tc0560,tc0560,Regnard,Bal,Le bal,1696,drama,Comédie,comédie,un acte,vers,1690s,Charonne,France,XVIIème
tc0561,tc0561,Dancourt,Opéra-village,L'opéra de village,1693,drama,Comédie,comédie,un acte,prose,1690s,Lyon,France,XVIIème
tc0563,tc0563,CorneilleP,Menteur,Le menteur,1642,drama,Comédie,comédie,cinq actes,vers,1640s,Paris,France,XVIIème
tc0564,tc0564,Dorimond,Amours-Trapolin,Les amours de trapolin,(non indiqué),drama,Comédie,comédie,un acte,vers,(non indiqué0s,(non indiqué),(non indiqué),(inconnu)
tc0567,tc0567,Somaize,Véritables-précieuses,Les véritables précieuses,1660,drama,Comédie,comédie,un acte,prose,1660s,Paris,France,XVIIème
tc0568,tc0568,DuRyer,Vendanges-Suresnes,Les vendanges de suresnes,1636,drama,Comédie,comédie,cinq actes,vers,1630s,Suresnes,France,XVIIème
tc0571,tc0571,LAffichard,Acteurs-déplacés,Les acteurs déplacés,1735,drama,Comédie,comédie,"un acte, un prologue",mixte,1730s,Lyon,France,XVIIIème
tc0575,tc0575,Dumaniant,Jodelet,Jodelet,1798,drama,Comédie,comédie,un acte,prose,1790s,Paris,France,XVIIIème
tc0576,tc0576,Dancourt,Retour-officiers,Le retour des officiers,1697,drama,Comédie,comédie,un acte,prose,1690s,Péronne,France,XVIIème
tc0581,tc0581,Dancourt,Vacances,Les vacances,1697,drama,Comédie,comédie,un acte,prose,1690s,Gaillardin,France,XVIIème
tc0583,tc0583,Marivaux,Triomphe-amour,Le triomphe de l'amour,1732,drama,Comédie,comédie,trois actes,prose,1730s,Sparte,Grèce,Temps mythologiques
tc0586,tc0586,Scarron,Jodelet,Le jodelet ou le maître valet,(inconnue),drama,Comédie,comédie,cinq actes,vers,(inconnue0s,Madrid,Espagne,XVème
tc0589,tc0589,Biancolelli,École-galante,L'école galante ou l'art d'aimer,1710,drama,Comédie,comédie,trois actes,vers,1710s,Lyon,France,XVIIème
tc0590,tc0590,GilletDeLaTessonerie,Campagnard,Le campagnard,1656,drama,Comédie,comédie,cinq actes,vers,1650s,Paris,France,XVIIème
tc0591,tc0591,Dufresny,Joueuse,La joueuse,1709,drama,Comédie,comédie,cinq actes,prose,1700s,France,France,XVIIème
tc0593,tc0593,Dancourt,Galant-jardinier,Le galant jardinier,1704,drama,Comédie,comédie,un acte,prose,1700s,France,France,XVIIème
tc0595,tc0595,Dancourt,Fête-village,La fête de village,1700,drama,Comédie,comédie,trois actes,prose,1700s,Brie,France,XVIIIème
tc0597,tc0597,Voltaire,Dépostaire,Le dépostaire,(non représentée),drama,Comédie,comédie,cinq actes,vers,(non représentée0s,Paris,France,XVIIème
tc0599,tc0599,Marivaux,Provinciale,La provinciale,1750,drama,Comédie,comédie,un acte,prose,1750s,Paris,France,XVIIIème
tc0600,tc0600,Rousseau,Café,Le café,1694,drama,Comédie,comédie,un acte,prose,1690s,Paris,France,XVIIème
tc0604,tc0604,Boursault,Médecin-volant,Le médecin volant,1694,drama,Comédie,comédie,un acte,vers,1690s,Paris,France,XVIIème
tc0609,tc0609,Dancourt,Maison-campagne,La maison de campagne,1688,drama,Comédie,comédie,un acte,prose,1680s,À la campagne,France,XVIIème
tc0612,tc0612,Molière,Femmes-savantes,Les femmes savantes,1672,drama,Comédie,comédie,cinq actes,vers,1670s,Paris,France,XVIIème
tc0613,tc0613,CorneilleT,Comtesse-orgueil,La comtesse d'orgueil,1653,drama,Comédie,comédie,cinq actes,vers,1650s,Paris,France,XVIIème
tc0614,tc0614,Molière,Impromptu-Versailles,L'impromptu de versailles,1663,drama,Comédie,comédie,un acte,prose,1660s,Versailles,France,XVIIème
tc0617,tc0617,Molière,Amour-médecin,L'amour médecin,N/A,drama,Comédie,comédie,trois actes,prose,N/0s,Paris,France,XVIIème
tc0619,tc0619,Dufresny,Esprit-contradiction,L'esprit de contradiction,1700,drama,Comédie,comédie,un acte,prose,1700s,Campagne,France,XVIIème
tc0620,tc0620,Marivaux,Jeu-amour-hasard,Le jeu de l'amour et du hasard,1730,drama,Comédie,comédie,trois actes,prose,1730s,Paris,France,XVIIIème
tc0630,tc0630,Dancourt,Madame-Artus,Madame artus,1708,drama,Comédie,comédie,cinq actes,vers,1700s,Paris,France,XVIIIème
tc0633,tc0633,CorneilleT,Galant-doublé,Le galant doublé,1659,drama,Comédie,comédie,cinq actes,vers,1650s,Madrid,Espagne,XVIIème
tc0639,tc0639,Dancourt,Eaux-Bourbon,Les eaux de bourbon,1695,drama,Comédie,comédie,un acte,prose,1690s,Bourbon-les-Bains,France,XVIIème
tc0640,tc0640,Marivaux,Épreuve,L'épreuve,1740,drama,Comédie,comédie,un acte,mixte,1740s,France,France,XVIIIème 
tc0641,tc0641,Scarron,Marquis-ridicule,Le marquis ridicule,1646,drama,Comédie,comédie,cinq actes,vers,1640s,Tolède,Espagne,XVIIème
tc0642,tc0642,Lesage,Arlequin-Mahomet,Arlequin mahomet,1714,drama,Comédie,comédie,un acte,vers,1710s,Paris,France,XVIIIéme
tc0643,tc0643,Mercier,Libérateur,Le libérateur,(inconnue),drama,Comédie,comédie,deux actes,prose,(inconnue0s,Londres,Angleterre,XVIIIème
tc0644,tc0644,Dumaniant,Français-Huronie,Le français en huronie,N/A,drama,Comédie,comédie,un acte,vers,N/0s,Canada,Canada,XVIIIème
tc0645,tc0645,Carmontelle,Abbé-plâtre,L'abbé de plâtre,1779,drama,Comédie,comédie,un acte,prose,1770s,Pantin,France,(indéterminé)
tc0646,tc0646,Dancourt,Foire-Besons,La foire de besons,1695,drama,Comédie,comédie,un acte,mixte,1690s,Besons,France,XVIIème
tc0649,tc0649,Diderot,Pièce-prologue,La pièce et le prologue ou celui qui les sert tous et qui n'en contente aucun,1760,drama,Comédie,comédie,cinq actes,prose,1760s,Paris,France,XVIIIème
tc0656,tc0656,Racine,Plaideurs,Les plaideurs,1668,drama,Comédie,comédie,trois actes,vers,1660s,Basse-Normandie,France,XVIIème
tc0658,tc0658,Marivaux,Serments-indiscrets,Les serments indiscrets,1732,drama,Comédie,comédie,cinq actes,prose,1730s,(non indiqué),France,XVIIIème
tc0659,tc0659,Beaumarchais,Barbier-Séville,Le barbier de séville ou les précautions inutiles,1775,drama,Comédie,comédie,quatre actes,mixte,1770s,Séville,Espagne,XVIIIème
tc0660,tc0660,Dufresny,Réconciliation-normande,La réconciliation normande,1719,drama,Comédie,comédie,cinq actes,vers,1710s,Paris,France,XVIIIème
tc0665,tc0665,Molière,Don-Juan,Don juan ou le festin de pierre,1665,drama,Comédie,comédie,cinq actes,prose,1660s,Sicile,Italie,XVIIème
tc0667,tc0667,Rosimond,Avocat-savetier,Avocat savetier,1670,drama,Comédie,comédie,un acte,vers,1670s,(non indiqué),(non indiqué),XVIIème
tc0669,tc0669,SoulasDAllainval,Hiver,L'hiver,1733,drama,Comédie,comédie,un acte,mixte,1730s,Paris,France,(indéterminé)
tc0670,tc0670,CorneilleT,Inconnu,L'inconnu,1675,drama,Comédie,comédie,cinq actes,vers,1670s,(non indiqué),France,XVIIème
tc0672,tc0672,Discret,Noces-Vaugirard,Les noces de vaugirard,1635,drama,Comédie,comédie,cinq actes,vers,1630s,Vaugirard,Paris,XVIIème
tc0673,tc0673,Gueullette,Arlequin-Pluton,Arlequin-pluton,1719,drama,Comédie,comédie,trois actes,prose,1710s,Sicile,Italie,XVIIIème
tc0676,tc0676,Legrand,Famille-extravagante,La famille extravagante,1709,drama,Comédie,comédie,un acte,vers,1700s,Paris,France,XVIIIème
tc0684,tc0684,Dancourt,Femme-intrigues,La femme d'intrigues,1692,drama,Comédie,comédie,cinq actes,prose,1690s,Paris,France,XVIIème
tc0685,tc0685,Lafont,Naufrage,Le naufrage,1710,drama,Comédie,comédie,un acte,vers,1710s,Île de Salamandros,(inconnu),XVIIIème
tc0687,tc0687,Marivaux,Legs,Le legs,1736,drama,Comédie,comédie,un acte,prose,1730s,(non indiqué),France,XVIIIème
tc0689,tc0689,Regnard,Légataire-universel,Le légataire universel,1704,drama,Comédie,comédie,cinq actes,vers,1700s,Paris,France,XVIIIème
tc0691,tc0691,Aigueberre,Polixène,Polixène,(non représentée),drama,Comédie,comédie,un acte,vers,(non représentée0s,Troie,Turquie,Vème avant JC
tc0693,tc0693,Regnard,Sérénade,La sérénade,1694,drama,Comédie,comédie,un acte,mixte,1690s,Paris,France,XVIIème
tc0694,tc0694,HarnyDeGuerville,Petit-maître,Le petit-maître en province,1765,drama,Comédie,comédie,un acte,vers,1760s,France,France,XVIIIème
tc0697,tc0697,Alain,Épreuve-réciproque,L'épreuve réciproque,1711,drama,Comédie,comédie,un acte,prose,1710s,Paris,France,XVIIIème
tc0698,tc0698,Regnard,Folies-amoureuses,Les folies amoureuses,1696,drama,Comédie,comédie,"trois actes, un prologue",vers,1690s,Paris,France,XVIIème
tc0701,tc0701,CorneilleT,Don-Bertran,Don bertran de cigarral,1651,drama,Comédie,comédie,cinq actes,vers,1650s,Madrid,Espagne,XVIIème
tc0702,tc0702,Molière,Amants-magnifiques,Les amants magnifiques,N/A,drama,Comédie,comédie,cinq actes,mixte,N/0s,Vallée de Tempé,Grèce,Temps mythologiques
tc0704,tc0704,Boissy,Balillard,Le balillard,3618,drama,Comédie,comédie,un acte,vers,3610s,Paris,France,XVIIIème
tc0708,tc0708,Lesage+Dorneval,Île-Gougou,L'île du gougou,1720,drama,Comédie,comédie,deux actes,prose,1720s,Sur une île,(inconnu),XVIIIème
tc0710,tc0710,Marivaux,Félicie,Félicie,1750,drama,Comédie,comédie,un acte,prose,1750s,Lieu féérique,(non indiqué),Temps mythologiques
tc0712,tc0712,PoinsinetDeSivry,Cercle,Le cercle,1764,drama,Comédie,comédie,un acte,prose,1760s,Paris,France,XVIIIème
tc0713,tc0713,Regnard,Arlequin-aux-enfers,Arlequin aux enfers,1689,drama,Comédie,comédie,trois actes,prose,1680s,Thrace,Grèce,Temps mythologiques
tc0715,tc0715,Imbert,Inauguration,L'inauguration du théâtre français,1782,drama,Comédie,comédie,un acte,vers,1780s,Paris,France,XVIIIème
tc0722,tc0722,FabreDEglantine,Philinte-Molière,Le philinte de molière,1790,drama,Comédie,comédie,quatre actes,vers,1790s,Paris,France,XVIIIème
tc0723,tc0723,CorneilleP,Suite-menteur,La suite du menteur,1644,drama,Comédie,comédie,cinq actes,vers,1640s,Lyon,France,XVIIème
tc0725,tc0725,Chamfort,Jeune-indienne,La jeune indienne,1764,drama,Comédie,comédie,un acte,vers,1760s,Charlestown,Etats-Unis,XVIIIème
tc0728,tc0728,Marivaux,Triomphe-Plutus,Le triomphe de plutus,1728,drama,Comédie,comédie,un acte,prose,1720s,(non indiqué),(non indiqué),Temps mythologiques
tc0731,tc0731,Beaunoir,Sculpteur,Le sculpteur,1784,drama,Comédie,comédie,deux actes,prose,1780s,Paris,France,XVIIIème
tc0732,tc0732,PalissotDeMontenoy,Barbier-Bagdad,Le barbier de bagdad,1758,drama,Comédie,comédie,un acte,prose,1750s,Bagdad,Irak,XVIIIème
tc0733,tc0733,Dancourt,Nouveau-prologue,Nouveau prologue,1703,drama,Comédie,comédie,un acte,prose,1700s,Province,France,XVIIème
tc0734,tc0734,Dancourt,Prix-arquebuse,Le prix de l’arquebuse,1717,drama,Comédie,comédie,un acte,mixte,1710s,Brie,France,XVIIIème
tc0736,tc0736,Audinot,Musicomanie,La musicomanie,1779,drama,Comédie,comédie,un acte,prose,1770s,Campagne,France,XVIIIème
tc0737,tc0737,Dancourt,Déroute-pharaon,La déroute du pharaon,(non représentée),drama,Comédie,comédie,un acte,prose,(non représentée0s,Paris,France,XVIIIème
tc0738,tc0738,GazonDoruxigné,Alzate,Alzate ou le le préjugé détruit,1749,drama,Comédie,comédie,un acte,vers ,1740s,Paris,France,XVIIIème
tc0741,tc0741,Rotrou,Sosies,Les sosies,1646,drama,Comédie,comédie,cinq actes,vers,1640s,Lieu mythologique,Pays mythologique,Temps mythologiques
tc0742,tc0742,Hoffmann,Original,L'original,1796,drama,Comédie,comédie,un acte,mixte,1790s,À la campagne,France,XVIIIème
tc0743,tc0743,Champméslé,Coupe-enchantée,La coupe enchantée,1693,drama,Comédie,comédie,un acte,vers,1690s,Paris,France,XVIIème
tc0744,tc0744,Beaunoir,Cacophonie,La cacophonie,1779,drama,Comédie,comédie,un acte,vers,1770s,Paris,France,XVIIIème
tc0754,tc0754,Boursault,Deux-frères-gémeaux,Les deux frères gémeaux ou les menteurs qui ne mentent point,N/A,drama,Comédie,comédie,cinq actes,vers,N/0s,France,France,XVIIème
tc0755,tc0755,LaFontaine,Florentin,Le florentin,1685,drama,Comédie,comédie,un acte,vers,1680s,Florence,Italie,XVIIème
tc0759,tc0759,Molière,Fourberies-Scapin,Les fourberies de scapin,1671,drama,Comédie,comédie,trois actes,prose,1670s,Naples,Italie,XVIIème
tc0763,tc0763,FeriolDePontDeVeyle,Somnambule,Le somnambule,1739,drama,Comédie,comédie,un acte,prose,1730s,Province,France,XVIIIème
tc0766,tc0766,DesmaretsDeSaintSorlin,Visionnaires,Les visionnaires,1637,drama,Comédie,comédie,cinq actes,vers,1630s,(non indiqué),(inconnu),XVIIème
tc0767,tc0767,Dancourt,Diable-boiteux,Le diable boiteux,1707,drama,Comédie,comédie,"un acte, un prologue",prose,1700s,Paris,France,XVIIIème
tc0768,tc0768,ParadisDeMoncrif,Abderites,Les abderites,1732,drama,Comédie,comédie,"un acte, un prologue",vers,1730s,Abdere,Grèce,Temps mythologiques
tc0770,tc0770,Cyrano,Pédant-joué,Le pédant joué,1654,drama,Comédie,comédie,cinq actes,prose,1650s,Beauvais,France,XVIIème
tc0771,tc0771,Regnard+Dufresny,Augmentation-baguette,L'augmentation de la baguette,1693,drama,Comédie,comédie,quatre actes,mixte,1690s,Paris,France,XVIIème
tc0773,tc0773,Marivaux,Mère-confidente,La mère confidente,1735,drama,Comédie,comédie,trois actes,prose,1730s,France,France,XVIIIème
tc0775,tc0775,Saurin,Moeurs-temps,Les moeurs du temps,1760,drama,Comédie,comédie,un acte,prose,1760s,Proche de Paris,France,XVIIIème
tc0776,tc0776,Florian,Jumeaux-bergame,Les jumeaux de bergame,1782,drama,Comédie,comédie,un acte,prose,1780s,Paris,France,XVIIIème
tc0777,tc0777,Rousseau,Ceinture-magique,La ceinture magique,1701,drama,Comédie,comédie,un acte,prose,1700s,Paris,France,XVIIIème
tc0778,tc0778,Molière,Tartuffe,Le tartuffe ou l'imposteur,1664,drama,Comédie,comédie,cinq actes,vers,1660s,Paris,France,XVIIème
tc0780,tc0780,Marivaux,Petit-maître,Le petit maître corrigé,1734,drama,Comédie,comédie,trois actes,prose,1730s,France,France,XVIIIème
tc0784,tc0784,Regnard,Divorce,Le divorce,1688,drama,Comédie,comédie,trois actes,prose,1680s,Paris,France,XVIIème
tc0785,tc0785,Dancourt,Bourgeoises-mode,Les bourgeoises à la mode,1692,drama,Comédie,comédie,cinq actes,prose,1690s,Paris,France,XVIIème
tc0786,tc0786,Anonyme,Prix-moment,Le prix d'un moment,(non représentée),drama,Comédie,comédie,un acte,mixte,(non représentée0s,Dans un bois,France,XVIIIème
tc0788,tc0788,Dancourt,Moulin-Javelle,Le moulin de javelle,1696,drama,Comédie,comédie,cinq actes,prose,1690s,Paris,France,XVIIème
tc0790,tc0790,PoinsinetDeSivry,Philosophes-bois,Les philosophes de bois,1760,drama,Comédie,comédie,un acte,vers,1760s,Paris,France,XVIIIème
tc0791,tc0791,Quinault,Mere-coquette,La mere coquette ou les amants brouilles,1665,drama,Comédie,comédie,cinq actes,vers,1660s,Paris,France,XVIIème
tc0792,tc0792,Villiers,Critique-Tartuffe,La critique du tartuffe,(non représentée),drama,Comédie,comédie,un acte,vers,(non représentée0s,France,France,XVIIème
tc0796,tc0796,Dufresny,Faux-honnête-homme,Le faux honnête homme,1703,drama,Comédie,comédie,trois actes,prose,1700s,Paris,France,XVIIIème
tc0797,tc0797,Marivaux,Colonie,La colonie,1750,drama,Comédie,comédie,un acte,prose,1750s,Sur une île,Sur une île,Temps mythologiques
tc0798,tc0798,Marivaux,Seconde-suprise-amour,La seconde suprise de l'amour,1727,drama,Comédie,comédie,trois actes,prose,1720s,(non indiqué),(non indiqué),(non indiqué)
tc0799,tc0799,Dufresny,Jaloux-honteux,Le jaloux honteux,1708,drama,Comédie,comédie,cinq actes,prose,1700s,Rennes,France,XVIIIème
tc0800,tc0800,NivelleDeLaChaussée,Gouvernante,La gouvernante,1744,drama,Comédie,comédie,cinq actes,vers,1740s,Paris,France,XVIIIème
tc0801,tc0801,Bièvre,Séducteur,Le séducteur,1783,drama,Comédie,comédie,cinq actes,vers,1780s,Paris,France,XVIIIème
tc0807,tc0807,Favart,Anglais-bordeaux,L'anglais à bordeaux,1763,drama,Comédie,comédie,un acte,vers,1760s,Bordeaux,France,XVIIIème
tc0808,tc0808,LaCroix,Guerre-comique,La guerre comique ou la défense de l'école des femmes,(non représentée),drama,Comédie,comédie,un acte,vers,(non représentée0s,Paris,France,XVIIème
tc0809,tc0809,Regnard+Dufresny,Baguette-vulcain,La baguette de vulcain,1693,drama,Comédie,comédie,quatre actes,mixte,1690s,Île enchantée,Pays imaginaire,XVIIème
tc0810,tc0810,Ouville,Soupçons-apparences,Les soupçons sur les apparences,1641,drama,Comédie,comédie,cinq actes,vers,1640s,Paris,France,XVIIème
tc0813,tc0813,NivelleDeLaChaussée,Fausee-antipathie,La fausee antipathie,1744,drama,Comédie,comédie,"trois actes, un prologue",vers,1740s,Campagne française,France,XVIIIème
tc0814,tc0814,CorneilleP,Place-royale,La place royale ou l'amoureux extravagant,1634,drama,Comédie,comédie,cinq actes,vers,1630s,Paris,France,XVIIème
tc0815,tc0815,Molière,Malade-imaginaire,Le malade imaginaire,1673,drama,Comédie,comédie,"trois actes, un prologue",mixte,1670s,Paris,France,XVIIème
tc0819,tc0819,Champmeslé,Fragments-Molière,Les fragments de molière,1674,drama,Comédie,comédie,deux actes,prose,1670s,En province,France,XVIIème
tc0823,tc0823,Ouville,Absent-chez-soi,L'absent chez soi,1642,drama,Comédie,comédie,cinq actes,vers,1640s,Paris,France,XVIIème
tc0824,tc0824,Diderot,Père-famille,Le père de famille,1760,drama,Comédie,comédie,cinq actes,prose,1760s,Paris,France,XVIIIème
tc0825,tc0825,Artaud,Centenaire-Molière,Le centenaire de molière,1773,drama,Comédie,comédie,un acte,mixte,1770s,Paris,France,XVIIème
tc0826,tc0826,Colleville,Sophie-Derville,Sophie et derville,1788,drama,Comédie,comédie,un acte,prose,1780s,En ville,France,XVIIIème
tc0827,tc0827,Biancolelli,Foire-galante,La foire galante,1710,drama,Comédie,comédie,un acte,vers,1710s,Paris,France,XVIIIème
tc0828,tc0828,CorneilleT,Charme-voix,Le charme de la voix,1653,drama,Comédie,comédie,cinq actes,vers,1650s,Milan,Italie,XVIIème
tc0832,tc0832,Chabanon,Faux-noble,Le faux noble,1788,drama,Comédie,comédie,cinq actes,vers,1780s,Paris,France,XVIIIème
tc0838,tc0838,Regnard,Ménechmes,Les ménechmes,1705,drama,Comédie,comédie,cinq actes,vers,1700s,Paris,France,XVIIIème
tc0840,tc0840,GilletDeLaTessonerie,Déniaisé,Le déniaisé,1647,drama,Comédie,comédie,cinq actes,vers,1640s,Paris,France,XVIIème
tc0843,tc0843,Musset,Caprices-marianne,Les caprices de marianne,N/A,drama,Comédie,comédie,cinq actes,prose,N/0s,Naples,Italie,XVIème
tc0844,tc0844,Poisson,Actrice-nouvelle,L'actrice nouvelle,(non représentée),drama,Comédie,comédie,un acte,vers,(non représentée0s,Paris,France,XVIIème
tc0845,tc0845,Brosse,Aveugle-clairvoyant,L'aveugle clairvoyant,N/A,drama,Comédie,comédie,cinq actes,vers,N/0s,Paris,France,XIXème
tc0846,tc0846,Dancourt,Renaud-armide,Renaud et armide,1697,drama,Comédie,comédie,cinq actes,mixte,1690s,Paris,France,XVIIème
tc0848,tc0848,Marivaux,Heureux-stratagème,L'heureux stratagème,1733,drama,Comédie,comédie,trois actes,prose,1730s,France,France,XVIIIème
tc0849,tc0849,Poisson,Hollande-malade,La hollande malade,1672,drama,Comédie,comédie,un acte,vers,1670s,Amsterdam,Pays-Bas,XVIIème
tc0858,tc0858,Jaquelin+Philidor,Pradon,Pradon,1799,drama,Comédie,comédie,un acte,mixte,1790s,Paris,France,XVIIème
tc0861,tc0861,Regnard,Suite-foire-saint-germain,La suite de la foire saint-germain,1696,drama,Comédie,comédie,un acte,mixte,1690s,Paris,France,XVIIème
tc0863,tc0863,GuyotDeMerville,Consentement-forcé,Le consentement forcé,1738,drama,Comédie,comédie,un acte,mixte,1730s,Auteuil,France,XVIIIème
tc0866,tc0866,Boissy,Médecin-occasion,Le médecin par occasion,1745,drama,Comédie,comédie,cinq actes,vers,1740s,Champagne,France,XVIIIème
tc0867,tc0867,CorneilleT,Feint-astrologue,Le feint astrologue,1648,drama,Comédie,comédie,cinq actes,vers,1640s,Madrid,Espagne,XVIIème
tc0868,tc0868,Boursault,Satire-satires,La satire des satires,1694,drama,Comédie,comédie,un acte,vers,1690s,Paris,France,XVIIème
tc0871,tc0871,Dancourt,Folle-enchère,La folle enchère,1690,drama,Comédie,comédie,un acte,prose,1690s,France,France,XVIIème
tc0874,tc0874,Nericault-Destouches,Glorieux,Le glorieux,1732,drama,Comédie,comédie,cinq actes,vers,1730s,Paris,France,XVIIIème
tc0875,tc0875,Molière,Misanthrope,Le misanthrope ou l'atrabilaire amoureux,1666,drama,Comédie,comédie,cinq actes,vers,1660s,Paris,France,XVIIème
tc0876,tc0876,Molière,Sicilien,Le sicilien ou l'amour peintre,1667,drama,Comédie,comédie,un acte,mixte,1660s,Sicile,Italie,XVIIème
tc0877,tc0877,Regnard,Vendanges,Les vendanges,(non représentée),drama,Comédie,comédie,un acte,mixte,(non représentée0s,Asnières,France,XVIIIème
tc0878,tc0878,NivelleDeLaChaussée,École-mères,L'école des mères,1744,drama,Comédie,comédie,cinq actes,vers,1740s,Paris,France,XVIIIème
tc0882,tc0882,Marivaux,École-mères,L'école des mères,1732,drama,Comédie,comédie,un acte,mixte,1730s,France,France,XVIIIème 
tc0883,tc0883,Ouville,Fausses-vérités,Les fausses vérités,1641,drama,Comédie,comédie,cinq actes,vers,1640s,Paris,France,XVIIème
tc0885,tc0885,Regnard,Arlequin,Arlequin,1690,drama,Comédie,comédie,trois actes,prose,1690s,(indéterminé),France,XVIIème
tc0893,tc0893,Regnard,Coquette,La coquette,1691,drama,Comédie,comédie,cinq actes,mixte,1690s,Paris,France,XVIIème
tc0895,tc0895,Dancourt,Fêtes-noctunes-cours,Les fêtes noctunes du cours,1714,drama,Comédie,comédie,un acte,mixte,1710s,Paris,France,XVIIème
tc0901,tc0901,Pain,Appartement-louer,L'appartement a louer,1799,drama,Comédie,comédie,un acte,mixte,1790s,Paris,France,XVIIIème
tc0904,tc0904,Dancourt,Second-chapitre-diable,Second chapitre du diable boiteux,1707,drama,Comédie,comédie,"deux actes, un prologue",prose,1700s,Paris,France,XVIIIème
tc0906,tc0906,Dorvigny,Comédie-impromptu,La comédie à l'impromptu ou les dupes,1780,drama,Comédie,comédie,un acte,mixte,1780s,Paris,France,XVIIIème
tc0907,tc0907,Boisrobert,Amant-ridicule,L'amant ridicule,1655,drama,Comédie,comédie,un acte,vers,1650s,Paris,France,XVIIème
tc0909,tc0909,Beaunoir,Ramoneur-prince,Le ramoneur prince,1784,drama,Comédie,comédie,deux actes,prose,1780s,Madrid,Espagne,XVIIIème
tc0093,tc0093,Molière,Princesse-Élide,La princesse d'élide,1664,drama,Comédie galante,autre,cinq actes,mixte,1660s,Elide,Grèce,Temps mythologiques
tc0050,tc0050,CorneilleP,Don-Sanche,Don sanche d'aragon,1649,drama,Comédie héroïque,comédie-héroïque,cinq actes,vers,1640s,Valladolid,Espagne,XVème
tc0191,tc0191,Boursault,Ésope-cour,Ésope à la cour,1701,drama,Comédie héroïque,comédie-héroïque,"cinq actes, un prologue",vers,1700s,Sizique,Turquie,VIème avant JC
tc0363,tc0363,Molière,Mélicerte,Mélicerte,1666,drama,Comédie héroïque,comédie-héroïque,deux actes,vers,1660s,Thessalie,Grèce,Temps mythologiques
tc0393,tc0393,CorneilleP,Tite-Bérénice,Tite et bérénice,1670,drama,Comédie héroïque,comédie-héroïque,cinq actes,vers,1670s,Rome,Italie,Ier
tc0416,tc0416,CorneilleP,Pulchérie,Pulchérie,1672,drama,Comédie héroïque,comédie-héroïque,cinq actes,vers,1670s,Constantinople,Turquie,Vème
tc0634,tc0634,Marivaux,Réunion-amours,La réunion des amours,1731,drama,Comédie héroïque,comédie-héroïque,un acte,prose,1730s,Olympe,Pays mythologique,XVIIIème
tc0705,tc0705,Boissy,Vie-Songe,La vie est un songe,1732,drama,Comédie héroïque,comédie-héroïque,cinq actes,vers,1730s,Pologne,Pologne,XVIIIème
tc0058,tc0058,Molière,Bourgeois-gentilhomme,Le bourgeois gentilhomme,N/A,drama,Comédie-ballet,comédie-ballet ,cinq actes,mixte,N/0s,Paris,France,XVIIème
tc0221,tc0221,Dancourt,Divertissement-sceaux,Divertissement de sceaux,1705,drama,Comédie-ballet,comédie-ballet ,un acte,vers,1700s,Sceaux,France,XVIIIème
tc0515,tc0515,Molière,Mariage-forcé,Le mariage forcé,1664,drama,Comédie-ballet,comédie-ballet ,un acte,prose,1660s,Paris,France,XVIIème
tc0587,tc0587,Molière,Monsieur-Pourceaugnac,Monsieur de pourceaugnac,1669,drama,Comédie-ballet,comédie-ballet ,cinq actes,mixte,1660s,Paris,France,XVIIème
tc0622,tc0622,Dancourt,Impromptu-Livry,L'impromptu de livry,1705,drama,Comédie-ballet,comédie-ballet ,un acte,mixte,1700s,Livry,France,XVIIIème
tc0857,tc0857,Molière,Fâcheux,Les fâcheux,N/A,drama,Comédie-ballet,comédie-ballet ,"trois actes, un prologue",vers,N/0s,Paris,France,XVIIème
tc0900,tc0900,Dancourt,Impromptu-Suresnes,L'impromptu de suresnes,1713,drama,Comédie-ballet,comédie-ballet ,"un acte, un prologue",mixte,1710s,Suresnes,France,XVIIIème
tc0032,tc0032,Sacy,Lois,Les lois,N/A,drama,dialogue,dialogue,un acte,prose,N/0s,Québec,Canada,XVIIIème
tc0034,tc0034,Sacy,Modestie,La modestie,N/A,drama,dialogue,dialogue,un acte,prose,N/0s,Enfers,Pays mythologique,Temps mythologique
tc0182,tc0182,LeNoble,Cibisme,Le cibisme,(non représenté),drama,dialogue,dialogue,un acte,prose,(non représenté0s,Paris,France,XVIIème
tc0580,tc0580,Crébillon,Nuit-moment,La nuit et le moment ou les matines de cythère,(non représentée),drama,Dialogue,Dialogue,un acte,prose,(non représentée0s,à la Campagne,France,XVIIIème
tc0903,tc0903,Sacy,Répétition,La répétition,N/A,drama,dialogue,dialogue,un acte,prose,N/0s,Province,France,XVIIIème
tc0009,tc0009,Fuzelier,Scaramouche-pédant,Scaramouche pédant,1716,drama,Divertissement,divertissement,un acte,vers,1710s,Paris,France,XVIIIème
tc0351,tc0351,Molière,Divertissement-Chambord,Le divertissement de chambord,1670,drama,Divertissement,divertissement,trois actes,vers,1670s,(non indiqué),(inconnu),(non indiqué)
tc0726,tc0726,Nadal,Paradis-terrestre,Le paradis terrestre,1735,drama,Divertissement,divertissement,un acte,vers,1730s,(non indiqué),Paradis terrestre,Temps mythologiques
tc0789,tc0789,Fuzelier,Orphée,Orphée,1716,drama,Divertissement,divertissement,un acte,vers,1710s,Lieu mythologique,Pays mythologique,Temps mythologiques
tc0638,tc0638,Nadal,Esther,Esther,1734,drama,Divertissement spirituel,divertissement,un acte,vers,1730s,Suze,Iran,Temps bibliques
