role_id,civil,type,statut,age,stat_amour
tc0465-LEANDRE,,H,bourgeois,A,néant
tc0465-ISABELLE,,H,bourgeois,A,néant
tc0465-LEANDRE,,H,bourgeois,A,Isabelle
tc0465-GILLES,,H,valet,A,néant
tc0107-FRANCALEU,,H,bourgeois,A,néant
tc0107-BALEVEAU,,H,capitoni,A,néant
tc0107-DAMIS,,H,poète,A,néant
tc0107-DORANTE,,H,bourgeois,A,amoureux
tc0107-LUCILE,,H,bourgeois,J,amoureux
tc0107-LISETTE,,H,suivante,A,néant
tc0107-MONDOR,,H,valet,A,néant
tc0468-HILAIRE-PERE,,H,bourgeois,A,néant
tc0468-HILAIRE-FILS,,H,bourgeois,J,néant
tc0468-MADAME-HILAIRE,,H,bourgeois,A,néant
tc0468-MADAME-HILAIRE-GRAND-MERE,,H,bourgeois,V,néant
tc0468-LANCY,,H,bourgeois,A,néant
tc0468-MADEMOISELLE-LANCY,,H,bourgeois,A,néant
tc0468-GUINCESTRE,,H,,A,néant
tc0468-VARADE,,H,,A,néant
tc0468-AUBRY,,H,,A,néant
tc0468-HENRI-DE-NAVARRE,,H,roi,A,néant
tc0468-MONTMORENCY,,H,aristocrate,A,néant
tc0468-SULLY,,H,aristocrate,A,néant
tc0468-BIRON,,H,aristocrate,A,néant
tc0468-LANGLOIS,,H,aristocrate,A,néant
tc0468-LOUCHARD,,H,aristocrate,A,néant
tc0468-ANROUX,,H,aristocrate,A,néant
tc0468-BUSSY-LE-CLERC,,H,aristocrate,A,néant
tc0468-MONTALIO,,H,bourgeois,A,néant
tc0468-TURIAF,,H,bourgeois,A,néant
tc0468-SOLDATS,,H,soldat,A,néant
tc0468-SUISSES,,H,soldat,A,néant
tc0468-LIGUEURS,,H,ligueur,A,néant
tc0468-PEUPLE,,H,peuple,A,néant
tc0597-NINON,,H,bourgeois,A,néant
tc0597-GOURVILLE-L-AINE,,H,bourgeois,A,néant
tc0597-GOURVILLE-LE-JEUNE,,H,petit-maître,A,néant
tc0597-MONSIEUR-GARANT,,H,marquillier,A,néant
tc0597-L-AVOCAT-PLACET,,H,avocat,A,néant
