cligs_id,surname,forname,born,born_location,death,death_location,academie,author_string
tc0023,Archambault,Louis-François,1742,Paris,1812,Paris,,ARCHAMBAULT, Louis-François
tc0443,La calprenede,Gautier Costes de,1609,château de Toulgou à Salignac,1663,Les Andelys,1673,LA CALPRENEDE, Gautier Costes de
tc0783,Voltaire,,1694,Paris,1778,Paris,1746,VOLTAIRE
tc0069,Boissy,Louis de,1694,Vic-sur-Cère,1758,Paris,1754,BOISSY, Louis de
tc0329,Dorneval,Jacques-Philippe d'ORNEVAL dit,1686,Paris,1724,Passy,,DORNEVAL, Jacques-Philippe d'ORNEVAL dit
tc0559,Molière,,1622,Paris,1673,Paris,,MOLIÈRE
tc0690,Rochon  de chabannes,Marc-Antoine-Jacques,1730,Paris,1800,Paris,,ROCHON  DE CHABANNES, Marc-Antoine-Jacques
tc0033,Baptiste,,,,,Paris,,BAPTISTE et DU MOUTIER
tc0033,Du moutier,,,,,Paris,,BAPTISTE et DU MOUTIER
tc0679,Regnard,Jean-François,1655,Paris,1709,château de grillon, Dourdan,,REGNARD, Jean-François
tc0705,Rotrou,Jean,1609,Dreux,1650,Dreux,,ROTROU, Jean
tc0593,Nivelle de la chaussée,Pierre,1692,Paris,1754,Paris,1736,NIVELLE de la CHAUSSÉE, Pierre
tc0608,Palissot de montenoy,Charles,1730,Nancy,1814,Paris,,PALISSOT de MONTENOY, Charles
tc0289,Dancourt,Florent CARTON dit,1661,Fontainebleau,1725,Courcelles-le-Roi,,DANCOURT, Florent CARTON dit
tc0112,Campistron,Jean G. de,1656,Toulouse,1713,Toulouse,1701,CAMPISTRON, Jean G. de
tc0686,Regnard,Jean-François,1655,Paris,1709,château de grillon, Dourdan,,REGNARD, Jean-François
tc0572,Moliere,,1622,Paris,1673,Paris,,MOLIERE
tc0570,Molière,,1622,Paris,1673,Paris,,MOLIÈRE
tc0607,Palissot de montenoy,Charles,1730,Nancy,1814,Paris,,PALISSOT de MONTENOY, Charles
tc0520,Marivaux,,1688,Auvergne,1763,Paris,1743,MARIVAUX
tc0180,Corneille,Pierre,1606,Rouen,1684,Paris,1647,CORNEILLE, Pierre
tc0149,Chabanon,Michel Paul Guy de,1730,Saint-omingue,1792,Paris,1780,CHABANON, Michel Paul Guy de
tc0178,Corneille,Pierre,1606,Rouen,1684,Paris,1647,CORNEILLE, Pierre
tc0187,Corneille,Pierre,1606,Rouen,1684,Paris,1647,CORNEILLE, Pierre
tc0802,Vondrebeck,Maurice,,,,,,VONDREBECK, Maurice et ALARD, Charles
tc0802,Alard,Charles,,,,,,VONDREBECK, Maurice et ALARD, Charles
tc0725,Scarron,Paul,1610,Paris,1660,Paris,,SCARRON, Paul
tc0451,La chapelle,Jean de,1651,Paris,1723,Paris,1688,LA CHAPELLE, Jean de
tc0064,Bohaire-dutheil,Nicolas de,1750,La Ferté-sous-Jouarre,1825,La Ferté-sous-Jouarre,1701,BOHAIRE-DUTHEIL, Nicolas de
tc0493,Lesage,Alain-René,1668,Sarzeau,1747,Boulogne-sur-mer,1746,LESAGE, Alain-René
tc0638,Quinault,Philippe,1635,Paris,1688,Paris,1670,QUINAULT, Philippe
tc0466,La fosse,Antoine d'Aubigny,1653,Paris,1708,Paris,,LA FOSSE, Antoine d'Aubigny
tc0505,Mairet,Jean,1604,Besançon,1686,Besançon,,MAIRET, Jean
tc0761,Viau,Théophile de,1586,Clairac,1626,Paris,,VIAU, Théophile de
tc0316,Diderot,Denis,1713,Paris,1784,Paris,,DIDEROT, Denis
tc0655,Racine,Jean,1639,La Ferté Millon,1699,Paris,1673,RACINE, Jean
tc0201,Corneille,Thomas,1625,Rouen,1709,Les Andelys,1685,CORNEILLE, Thomas
tc0291,Dancourt,Florent Carton dit,1661,Paris,1725,Paris,,DANCOURT, Florent Carton dit
tc0243,Cubières-palmézeaux,Michel de,1752,Paris,1820,Saint-Germain-en-Laye,,CUBIÈRES-PALMÉZEAUX, Michel de
tc0159,Chevreau,Urbain,1613,,1721,,,CHEVREAU, Urbain
tc0133,Carmontelle,Louis Carrogis, dit Louis de Carmontelle,1717,Paris,1806,Paris,Poitiers,CARMONTELLE, Louis Carrogis, dit Louis de Carmontelle
tc0062,Blanc,Marc Antoine,1730,,1799,,,BLANC, Marc Antoine
tc0579,Molière,,1622,Paris,1673,Paris,,MOLIÈRE
tc0217,Corneille,Thomas,1625,Rouen,1709,Les Andelys,1685,CORNEILLE, Thomas
tc0130,Carmontelle,Louis Carrogis, dit Louis de Carmontelle,1717,Paris,1806,Paris,Poitiers,CARMONTELLE, Louis Carrogis, dit Louis de Carmontelle
tc0377,Du ryer,Pierre,1605,Paris,1658,Paris,,DU RYER, Pierre
tc0030,Aure,François d',,,,,,AURE, François d'
tc0609,Patrat,Joseph,1733,Arles,1801,Paris,,PATRAT, Joseph
tc0087,Boursault,Edme,1638,Mussy-l Evêque,1701,Paris,,BOURSAULT, Edme
tc0181,Corneille,Pierre,1606,Rouen,1684,Paris,1647,CORNEILLE, Pierre
tc0581,Molière,,1622,Paris,1673,Paris,,MOLIÈRE
tc0781,Voltaire,,1694,Paris,1778,Paris,1746,VOLTAIRE
tc0074,Boissy,Louis de,1694,Vic-sur-Cère,1758,Paris,1754,BOISSY, Louis de
tc0760,Vadé,Jean-Joseph,1720,Ham,1757,Paris,,VADÉ, Jean-Joseph
tc0017,Anseaume,Louis,1721,Paris,1784,Paris,,ANSEAUME, Louis
tc0081,Boursault,Edme,1638,Mussy-l Evêque,1701,Paris,,BOURSAULT, Edme
tc0086,Boursault,Edme,1638,Mussy-l Evêque,1701,Paris,,BOURSAULT, Edme
tc0051,Beys,Charles de,1610,,1659,Paris,,BEYS, Charles de
tc0404,Gilbert,Gabriel,1620,Paris,1675,,,GILBERT, Gabriel
tc0691,Romagnesi,Jean Antoine,1690,,1742,,,ROMAGNESI, Jean Antoine
tc0668,Regnard,Jean-François,1655,Paris,1709,château de grillon, Dourdan,,REGNARD, Jean-François
tc0558,Molière,,1622,Paris,1673,Paris,,MOLIÈRE
tc0470,La harpe,Jean-François de,1739,Paris,1803,Paris,,LA HARPE, Jean-François de
tc0735,Scudery,Georges de,1601,Le Havre,1667,Paris,1649,SCUDERY, Georges de
tc0433,Harny de guerville,,17??,,17??,,,HARNY DE GUERVILLE
tc0741,Sedaine,Michel-Jean,1719,Paris,1797,Paris,,SEDAINE, Michel-Jean
tc0692,Riccoboni,,,,,,,RICCOBONI et ROMAGNESI
tc0692,Romagnesi,,,,,,,RICCOBONI et ROMAGNESI
tc0050,Bernard,CaTherine,1694,Vic-sur-Cère,1758,Paris,1754,BERNARD, CaTherine
tc0672,Regnard,Jean-François,1655,Paris,1709,Château de Grillon, Dourdan,,REGNARD, Jean-François
tc0022,Archambault,Louis-François,1742,Paris,1812,Paris,,ARCHAMBAULT, Louis-François
tc0384,Du ryer,Pierre,1605,Paris,1658,Paris,,DU RYER, Pierre
tc0368,Durant,Catherine,16??,,1736,,,DURANT, Catherine
tc0626,Pompigny,Maurin de,,Paris,,Paris,,POMPIGNY, Maurin de
tc0709,Rousseau,Jean-Jacques,1712,Génève,1778,Ermenonville,,ROUSSEAU, Jean-Jacques
tc0394,Florian,Jean Pierre Claris de,1755,,1794,Paris,,FLORIAN, Jean Pierre Claris de
tc0776,Voltaire,,1694,Paris,1778,Paris,1746,VOLTAIRE
tc0331,Dorneval,LESAGE,,,,,,DORNEVAL, LESAGE
tc0103,Boyer,Claude,1618,Albi,1698,Paris,1666,BOYER, Claude
tc0560,Molière,,1622,Paris,1673,Paris,,MOLIÈRE
tc0508,Marivaux,,1688,Auvergne,1763,Paris,1743,MARIVAUX
tc0444,La calprenede,Gautier Costes de,1609,château de Toulgou à Salignac,1663,Les Andelys,1673,LA CALPRENEDE, Gautier Costes de
tc0450,La calprenede,Gautier Costes de,1609,château de Toulgou à Salignac,1663,Les Andelys,1673,LA CALPRENEDE, Gautier Costes de
tc0265,Dancourt,Florent CARTON dit,1661,Fontainebleau,1725,Courcelles-le-Roi,,DANCOURT, Florent CARTON dit
tc0491,Le mierre,Antoine-Marin,1723,Paris,1793,Saint-Germain-en-Laye,1781,LE MIERRE, Antoine-Marin
tc0569,Molière,,1622,Paris,1673,Paris,,MOLIÈRE
tc0663,Racine,Jean,1639,La Ferté Millon,1699,Paris,1673,RACINE, Jean
tc0145,Carmontelle,Louis Carrogis, dit Louis de Carmontelle,1717,Paris,1806,Paris,Poitiers,CARMONTELLE, Louis Carrogis, dit Louis de Carmontelle
tc0476,La motte,Antoine-Houdard de,1672,Paris,1731,Paris,1710,LA MOTTE, Antoine-Houdard de
tc0729,Scarron,Paul,1610,Paris,1660,Paris,,SCARRON, Paul
tc0667,Regnard,Jean-François,1655,Paris,1709,château de grillon, Dourdan,,REGNARD, Jean-François
tc0613,Piron,Alexis,1689,Dijon,1773,Paris,,PIRON, Alexis
tc0669,Regnard,Jean-François,1655,Paris,1709,château de grillon, Dourdan,,REGNARD, Jean-François
tc0310,Deshoulières,Antoinette du Ligier de la Garde,1638,Paris,1694,Paris,,DESHOULIÈRES, Antoinette du Ligier de la Garde
tc0612,Pellet desbarreaux,Hiacinthe,1756,,1828,,,PELLET DESBARREAUX, Hiacinthe
tc0273,Dancourt,Florent CARTON dit,1661,Fontainebleau,1725,Courcelles-le-Roi,,DANCOURT, Florent CARTON dit
tc0027,Artaud,Jean-Baptiste,1732,,1796,,,ARTAUD, Jean-Baptiste
tc0279,Dancourt,Florent Carton dit,1661,Paris,1725,Paris,,DANCOURT, Florent Carton dit
tc0152,Chamfort,Sébatien-Roch-Nicolas de,1741,Clermont,1794,Paris,1781,CHAMFORT, Sébatien-Roch-Nicolas de 
tc0311,Desjardins,Marie-Catherine-Hortense,1632,Alençon,1683,Clinchemaure,,DESJARDINS, Marie-Catherine-Hortense
tc0215,Corneille,Thomas,1625,Rouen,1709,Les Andelys,1685,CORNEILLE, Thomas
tc0449,La calprenede,Gautier Costes de,1609,château de Toulgou à Salignac,1663,Les Andelys,1673,LA CALPRENEDE, Gautier Costes de
tc0284,Dancourt,Florent CARTON dit,1661,Fontainebleau,1725,Courcelles-le-Roi,,DANCOURT, Florent CARTON dit
tc0004,Aigueberre,Jean Dumas d',1692,,1655,,,AIGUEBERRE, Jean Dumas d'
tc0682,Regnard,Jean-François,1655,Paris,1709,Château de Grillon, Dourdan,,REGNARD, Jean-François
tc0308,Desfontaines,Nicolas Marie dit,1610,,1652,,,DESFONTAINES, Nicolas Marie dit
tc0042,Beaunoir,Alexandre-Louis-Bertrand Robineau dit de,17460,Paris,1823,Paris,,BEAUNOIR, Alexandre-Louis-Bertrand Robineau dit de
tc0214,Corneille,Thomas,1625,Rouen,1709,Les Andelys,1685,CORNEILLE, Thomas
tc0636,Quinault,Philippe,1635,Paris,1688,Paris,1670,QUINAULT, Philippe
tc0335,Duche de vancy,Jospeh-François,1668,Paris,1709,Paris,,DUCHE de VANCY, Jospeh-François
tc0003,Aigueberre,Jean Dumas d',1692,,1655,,,AIGUEBERRE, Jean Dumas d'
tc0400,Fuzelier,Louis,1672,Paris,1752,Paris,,FUZELIER, Louis
tc0680,Regnard,Jean-François,1655,Paris,1709,château de grillon, Dourdan,,REGNARD, Jean-François
tc0726,Scarron,Paul,1610,Paris,1660,Paris,,SCARRON, Paul
tc0739,Sedaine,Michel-Jean,1719,Paris,1797,Paris,,SEDAINE, Michel-Jean
tc0477,La motte,Antoine-Houdard de,1672,Paris,1731,Paris,1710,LA MOTTE, Antoine-Houdard de
tc0344,Du fresny,Charles Rivière,1657,Paris,1724,Paris,,DU FRESNY, Charles Rivière
tc0248,Cubières-palmézeaux,Michel de,1752,Gard,1820,Paris,,CUBIÈRES-PALMÉZEAUX, Michel de
tc0220,Corneille,Thomas,1625,Rouen,1709,Les Andelys,1685,CORNEILLE, Thomas
tc0386,Du ryer,Pierre,1605,Paris,1658,Paris,,DU RYER, Pierre
tc0132,Carmontelle,Louis Carrogis, dit Louis de Carmontelle,1717,Paris,1806,Paris,Poitiers,CARMONTELLE, Louis Carrogis, dit Louis de Carmontelle
tc0011,(anonyme),,,,,,,(anonyme)
tc0105,Boyer,Abel,1664,Castres,1729,Angleterre,1,BOYER, Abel
tc0756,Tristan l_hermite,François,1601,Château de Soliers, Marche,1655,Paris,,TRISTAN L_HERMITE, François
tc0582,Molière,,1622,Paris,1673,Paris,,MOLIÈRE
tc0492,Lesage,Alain-René,1668,Sarzeau,1747,Boulogne-sur-mer,1746,LESAGE, Alain-René
tc0034,Barante,Claude Ignace Brugière de,1670,Riom,1745,Riom,,BARANTE, Claude Ignace Brugière de
tc0160,Colardeau,Charles-Pierre,1732,Janville,1776,Paris,1776,COLARDEAU, Charles-Pierre
tc0542,Marmontel,Jean-François,1723,Bort-les-Orgues,1799,Maint-Aubin-sur-Gaillon,1763,MARMONTEL, Jean-François
tc0179,Corneille,Pierre,1606,Rouen,1684,Paris,1647,CORNEILLE, Pierre
tc0617,Piron,Alexis,1689,Dijon,1773,Paris,,PIRON, Alexis
tc0548,Molière,,1622,Paris,1673,Paris,,Molière
tc0664,Racine,Jean,1639,La Ferté Millon,1699,Paris,1673,RACINE, Jean
tc0446,La calprenede,Gautier Costes de,1609,château de Toulgou à Salignac,1663,Les Andelys,1673,LA CALPRENEDE, Gautier Costes de
tc0452,La croix,Jean de,1606,Rouen,1684,Paris,1647,LA CROIX, Jean de
tc0100,Boyer,CLaude,1618,Albi,1698,Paris,1,BOYER, CLaude
tc0437,Hoffmann,François-Benoît,1760,Nancy,1828,Paris,,HOFFMANN, François-Benoît
tc0376,Du ryer,Pierre,1605,Paris,1658,Paris,,DU RYER, Pierre
tc0353,Dufresny,Charles,1657,Paris,1724,Paris,,DUFRESNY, Charles
tc0413,Gresset,Jean-Baptiste-Louis,1709,Amiens,1777,Amiens,1748,GRESSET, Jean-Baptiste-Louis
tc0357,Regnard,,1655,Paris,1709,château de grillon, Dourdan,,REGNARD et DUFRESNY
tc0357,Dufresny,,1655,Paris,1709,château de grillon, Dourdan,,REGNARD et DUFRESNY
tc0662,Racine,Jean,1639,La Ferté Millon,1699,Paris,1673,RACINE, Jean
tc0681,Regnard,Jean-François,1655,Paris,1709,Château de Grillon, Dourdan,,REGNARD, Jean-François
tc0306,Desfontaines,Nicolas Marie dit,1610,,1652,,,DESFONTAINES, Nicolas Marie dit
tc0200,Corneille,Thomas,1625,Rouen,1709,Les Andelys,1685,CORNEILLE, Thomas
tc0097,Boyer,Claude,1618,Albi,1698,Paris,1666,BOYER, Claude
tc0203,Corneille,Thomas,1625,Rouen,1709,Les Andelys,1685,CORNEILLE, Thomas
tc0518,Marivaux,,1688,Auvergne,1763,Paris,1743,MARIVAUX
tc0164,Corneille,Pierre,1606,Rouen,1684,Paris,1647,CORNEILLE, Pierre
tc0707,Rousseau,Jean-Jacques,1712,Génève,1778,Ermenonville,,ROUSSEAU, Jean-Jacques
tc0787,Voltaire,François-Marie AROUET de,1694,Paris,1778,Paris,,VOLTAIRE, François-Marie AROUET de
tc0698,Rotrou,Jean,1609,Dreux,1650,Dreux,,ROTROU, Jean
tc0788,Voltaire,,1694,Paris,1778,Paris,1746,VOLTAIRE
tc0643,Quinault,Philippe,1635,Paris,1688,Paris,1670,QUINAULT, Philippe
tc0216,Corneille,Thomas,1625,Rouen,1709,Les Andelys,1685,CORNEILLE, Thomas
tc0223,Corneille,Thomas,1625,Rouen,1709,Les Andelys,1685,CORNEILLE, Thomas
tc0222,Corneille,Thomas,1625,Rouen,1709,Les Andelys,1685,CORNEILLE, Thomas
tc0189,Corneille,Pierre,1606,Rouen,1684,Paris,1647,CORNEILLE, Pierre
tc0009,(anonyme),,,,,Paris,,(Anonyme)
tc0123,Carmontelle,Louis Carrogis, dit Louis de Carmontelle,1717,Paris,1806,Paris,Poitiers,CARMONTELLE, Louis Carrogis, dit Louis de Carmontelle
tc0374,Du ryer,Pierre,1605,Paris,1658,Paris,,DU RYER, Pierre
tc0261,Dancourt,Florent CARTON dit,1661,Fontainebleau,1725,Courcelles-le-Roi,,DANCOURT, Florent CARTON dit
tc0101,Boyer,Claude,1618,Albi,1698,Paris,1666,BOYER, Claude
tc0169,Corneille,Pierre,1606,Rouen,1684,Paris,1647,CORNEILLE, Pierre
tc0532,Marivaux,,1688,Auvergne,1763,Paris,1743,MARIVAUX
tc0167,Corneille,Pierre,1606,Rouen,1684,Paris,1647,CORNEILLE, Pierre
tc0779,Voltaire,,1694,Paris,1778,Paris,1746,VOLTAIRE
tc0646,Quinault,Philippe,1635,Paris,1688,Paris,1670,QUINAULT, Philippe
tc0067,Boisrobert,François Le Métel de,1589,Caen,1662,Paris,,BOISROBERT, François Le Métel de 
tc0773,Voltaire,,1694,Paris,1778,Paris,1746,VOLTAIRE
tc0795,Voltaire,,1694,Paris,1778,Paris,1746,VOLTAIRE
tc0412,Goullinet,M.,,,,,,GOULLINET, M.
tc0678,Regnard,Jean-François,1655,Paris,1709,château de grillon, Dourdan,,REGNARD, Jean-François
tc0706,Rousseau,Jean-Jacques,1712,Génève,1778,Ermenonville,,ROUSSEAU, Jean-Jacques
tc0176,Corneille,Pierre,1606,Rouen,1684,Paris,1647,CORNEILLE, Pierre
tc0540,Marivaux,,1688,Auvergne,1763,Paris,1743,MARIVAUX
tc0724,Scarron,Paul,1610,Paris,1660,Paris,,SCARRON, Paul
tc0018,Archambault,Louis-François,1742,Paris,1812,Paris,,ARCHAMBAULT, Louis-François
tc0256,Dancourt,Florent CARTON dit,1661,Fontainebleau,1725,Courcelles-le-Roi,,DANCOURT, Florent CARTON dit
tc0439,Hugo,Victor,1802,Besançon,1885,Paris,1841,HUGO, Victor
tc0526,Marivaux,,1688,Auvergne,1763,Paris,1743,MARIVAUX
tc0485,Legouvé,Gabriel,1730,Paris,1782,Paris,1803,LEGOUVÉ, Gabriel
tc0784,Voltaire,,1694,Paris,1778,Paris,1746,VOLTAIRE
tc0424,Gueullette,Thomas-Simon,1683,Paris,1766,Charenton,,GUEULLETTE, Thomas-Simon
tc0482,Legouvé,Jean-Baptiste,1730,,1782,,,LEGOUVÉ, Jean-Baptiste
tc0128,Carmontelle,Louis Carrogis, dit Louis de Carmontelle,1717,Paris,1806,Paris,Poitiers,CARMONTELLE, Louis Carrogis, dit Louis de Carmontelle
tc0058,Biancolelli pierre-françois,RICCOBONI A.-F., RICCOBONI L., ROMAGNESI J.-A.,1680,Paris,1734,Paris,,BIANCOLELLI Pierre-François, RICCOBONI A.-F., RICCOBONI L., ROMAGNESI J.-A.
tc0513,Marivaux,,1688,Auvergne,1763,Paris,1743,MARIVAUX
tc0096,Boyer,Claude,1618,Albi,1698,Paris,1666,BOYER, Claude
tc0032,Baculard,François Thomas-Marie,1718,Avignon,1805,Paris,,BACULARD, François Thomas-Marie
tc0525,Marivaux,,1688,Auvergne,1763,Paris,1743,MARIVAUX
tc0753,Tristan l_hermite,François,1601,Château de Soliers, Marche,1655,Paris,,TRISTAN L_HERMITE, François
tc0109,Cailhava d'estendoux,Jean-François,1752,,1828,,,CAILHAVA D'ESTENDOUX, Jean-François
tc0211,Corneille,Thomas,1625,Rouen,1709,Les Andelys,1685,CORNEILLE, Thomas
tc0642,Quinault,Philippe,1635,Paris,1688,Paris,1670,QUINAULT, Philippe
tc0733,Scudery,Georges de,1601,Le Havre,1667,Paris,1649,SCUDERY, Georges de
tc0313,Desmarets de saint-sorlin,Jean dit De Boisval,1595,Paris,1676,Paris,1635,DESMARETS de SAINT-SORLIN, Jean dit De Boisval
tc0077,Boissy,Louis de,1694,Vic-sur-Cère,1758,Paris,1754,BOISSY, Louis de
tc0635,Quinault,Philippe,1635,Paris,1688,Paris,1670,QUINAULT, Philippe
tc0590,Nadal,Augustin,1659,Poitiers,1741,Poitiers,,NADAL, Augustin
tc0043,Beaunoir,Alexandre-Louis-Bertrand Robineau dit de,17460,Paris,1823,Paris,,BEAUNOIR, Alexandre-Louis-Bertrand Robineau dit de
tc0267,Dancourt,Florent Carton dit,1661,Paris,1725,Paris,,DANCOURT, Florent Carton dit
tc0146,Carrière-doisin a.,,17..,,17..,,,CARRIÈRE-DOISIN A.
tc0140,Carmontelle,Louis Carrogis, dit Louis de Carmontelle,1717,Paris,1806,Paris,Poitiers,CARMONTELLE, Louis Carrogis, dit Louis de Carmontelle
tc0483,Legouvé,Gabriel,1730,Paris,1782,Paris,1803,LEGOUVÉ, Gabriel
tc0309,Deshoulières,Antoinette du Ligier de la Garde,1638,Paris,1694,Paris,,DESHOULIÈRES, Antoinette du Ligier de la Garde
tc0615,Piron,Alexis,1689,Dijon,1773,Paris,,PIRON, Alexis
tc0757,Urfé,Honoré d',1558,Marseille,1625,Villefranche-sur-Mer,,URFÉ, Honoré d'
tc0665,Racine,Jean,1639,La Ferté Millon,1699,Paris,1673,RACINE, Jean
tc0304,Delavigne,Casimir,1793,Le Havre,1843,Lyon,1825,DELAVIGNE, Casimir
tc0296,Dancourt,Florent CARTON dit,1661,Fontainebleau,1725,Courcelles-le-Roi,,DANCOURT, Florent CARTON dit
tc0135,Carmontelle,Louis Carrogis, dit Louis de Carmontelle,1717,Paris,1806,Paris,Poitiers,CARMONTELLE, Louis Carrogis, dit Louis de Carmontelle
tc0767,Voltaire,,1694,Paris,1778,Paris,1746,VOLTAIRE
tc0056,Biancolelli,Pierre François,1680,Paris,1734,Paris,,BIANCOLELLI, Pierre François
tc0743,Somaize,Antoine BAUDEAU DE,1630,,16??,,,SOMAIZE, Antoine BAUDEAU DE
tc0094,Boyer,Claude,1618,Albi,1698,Paris,1666,BOYER, Claude
tc0071,Boissy,Louis de,1694,Vic-sur-Cère,1758,Paris,1754,BOISSY, Louis de
tc0576,Molière,,1622,Paris,1673,Paris,,MOLIÈRE
tc0143,Carmontelle,Louis Carrogis, dit Louis de Carmontelle,1717,Paris,1806,Paris,Poitiers,CARMONTELLE, Louis Carrogis, dit Louis de Carmontelle
tc0348,Du fresny,Charles Rivière,1657,Paris,1724,Paris,,DU FRESNY, Charles Rivière
tc0462,La fontaine,Jean de,1621,Château-Thierry,1695,Paris,,LA FONTAINE, Jean de
tc0454,Lafont,Joesph de,1686,Paris,1724,Passy,,LAFONT, Joesph de
tc0246,Cubières-palmézeaux,Michel de,1752,Gard,1820,Paris,,CUBIÈRES-PALMÉZEAUX, Michel de
tc0390,Favart,Charles-Simon,1710,Paris,1792,Paris,1736,FAVART, Charles-Simon
tc0777,Voltaire,,1694,Paris,1778,Paris,1746,VOLTAIRE
tc0551,Molière,,1622,Paris,1673,Paris,,MOLIÈRE
tc0515,Marivaux,,1688,Auvergne,1763,Paris,1743,MARIVAUX
tc0541,Marivaux,,1688,Auvergne,1763,Paris,1743,MARIVAUX
tc0479,Lebeau de schosme,Abbé Auguste-Théodore-Vincent,17..,,17..,,,LEBEAU DE SCHOSME, Abbé Auguste-Théodore-Vincent  
tc0719,Saurin,Jean de,1706,Paris,1781,Paris,1761,SAURIN, Jean de
tc0372,Durant,Catherine,16??,,1736,,,DURANT, Catherine
tc0604,Palissot de montenoy,Charles,1730,Nancy,1814,Paris,,PALISSOT de MONTENOY, Charles
tc0514,Marivaux,,1688,Auvergne,1763,Paris,1743,MARIVAUX
tc0153,Champméslé,Charles Chevillet dit,1642,Paris,1701,Paris,,CHAMPMÉSLÉ, Charles Chevillet dit
tc0641,Quinault,Philippe,1635,Paris,1688,Paris,1670,QUINAULT, Philippe
tc0553,Molière,,1622,Paris,1673,Paris,,MOLIÈRE
tc0359,Dugazon,Henri Jean-Henri Gourgaud dit,1746,Marseille,1809,Sandillon,,DUGAZON,  Henri Jean-Henri Gourgaud dit
tc0632,Pradon,Nicolas,1632,Rouen,1698,Paris,,PRADON, Nicolas
tc0495,Le tellier,Jean-François,,Château-Thierry,1732,Paris,,LE TELLIER, Jean-François
tc0610,Patrat,Joseph,1633,Arles,1801,Paris,,PATRAT, Joseph
tc0555,Molière,,1622,Paris,1673,Paris,,MOLIÈRE
tc0487,Legrand,Marc-Antoine,1673,Paris,1728,Paris,,LEGRAND, Marc-Antoine
tc0535,Marivaux,,1688,Auvergne,1763,Paris,1743,MARIVAUX
tc0631,Pradon,Nicolas,1632,Rouen,1698,Paris,,PRADON, Nicolas
tc0685,Regnard,Jean-François,1655,Paris,1709,château de grillon, Dourdan,,REGNARD, Jean-François
tc0453,L'affichard,Thomas,1698,,1753,,,L'AFFICHARD, Thomas
tc0666,Regnard,Jean-François,1655,Paris,1709,château de grillon, Dourdan,,REGNARD, Jean-François
tc0580,Molière,,1622,Paris,1673,Paris,,MOLIÈRE
tc0448,La calprenede,Gautier Costes de,1609,château de Toulgou à Salignac,1663,Les Andelys,1673,LA CALPRENEDE, Gautier Costes de
tc0345,Dufresny,Charles,1657,Paris,1724,Paris,,DUFRESNY, Charles
tc0504,Mairet,Jean,1604,Besançon,1686,Besançon,,MAIRET, Jean
tc0745,Somaize,Antoine BAUDEAU DE,1630,,16??,,,SOMAIZE, Antoine BAUDEAU DE
tc0073,Boissy,Louis de,1694,Vic-sur-Cère,1758,Paris,1754,BOISSY, Louis de
tc0276,Dancourt,Florent CARTON dit,1661,Fontainebleau,1725,Courcelles-le-Roi,,DANCOURT, Florent CARTON dit
tc0021,Archambault,Louis-François,1742,Paris,1812,Paris,,ARCHAMBAULT, Louis-François
tc0061,Bievre,François George Maréchal, marquis de,1747,Paris,1789,Bavière,,BIEVRE, François George Maréchal, marquis de
tc0084,Boursault,Edme,1638,Mussy-l Evêque,1701,Paris,,BOURSAULT, Edme
tc0076,Boissy,Louis de,1694,Vic-sur-Cère,1758,Paris,1754,BOISSY, Louis de
tc0786,Voltaire,,1694,Paris,1778,Paris,1746,VOLTAIRE
tc0364,Durant,Catherine,16??,,1736,,,DURANT, Catherine
tc0758,Vadé,Jean-Joseph,1720,Ham,1757,Paris,,VADÉ, Jean-Joseph
tc0434,Harny de guerville,,17??,,17??,,,HARNY DE GUERVILLE
tc0427,Gueullette,Thomas-Simon,1683,Paris,1766,Charenton,,GUEULLETTE, Thomas-Simon
tc0432,Guibert,Elisabeth,1725,,1787,,,GUIBERT, Elisabeth
tc0332,Dorneval,Jacques-Philippe d'ORNEVAL dit,1686,Paris,1724,Passy,,DORNEVAL, Jacques-Philippe d'ORNEVAL dit
