cligs_id,surname,forname,born,born_location,death,death_location,academie,author_string
tc0230,Coupigny,BARRÉ, PIIS, RADET, DESFONTAINES,,,,,,COUPIGNY, BARRÉ, PIIS, RADET, DESFONTAINES
tc0049,Bergasse,Nicolas,,,,,1647,BERGASSE, Nicolas ; CHASTENET de PUYSÉGUR, Armand-Marie-Jacques.
tc0049,Chastenet de puységur,Armand-Marie-Jacques.,,,,,1647,BERGASSE, Nicolas ; CHASTENET de PUYSÉGUR, Armand-Marie-Jacques.
tc0528,Marivaux,,1688,Auvergne,1763,Paris,1743,MARIVAUX
tc0240,Cubières-palmézeaux,Michel de,1752,Gard,1820,Paris,,CUBIÈRES-PALMÉZEAUX, Michel de
tc0565,Molière,,1622,Paris,1673,Paris,,MOLIÈRE
tc0052,Biancolelli,Pierre François,1680,,1734,,,BIANCOLELLI, Pierre François
tc0622,Poinsinet,Antoine-Alexandre-Henri,1735,Fontainebleau,1769,cordoue,,POINSINET, Antoine-Alexandre-Henri
tc0393,Florian,Jean Pierre Claris de,1755,,1794,Paris,,FLORIAN, Jean Pierre Claris de
tc0771,Voltaire,,1694,Paris,1778,Paris,1746,VOLTAIRE
tc0208,Corneille,Thomas,1625,Rouen,1709,Les Andelys,1685,CORNEILLE, Thomas
tc0416,Guerin de bouscal,Daniel,161?,,1675,,,GUERIN de BOUSCAL, Daniel
tc0711,Rousseau,Jean Baptiste,1670,Paris,1741,Bruxelles,1743,ROUSSEAU, Jean Baptiste
tc0005,Alain,Robert,1680,Paris,1720,Paris,,ALAIN, Robert
tc0126,Carmontelle,Louis Carrogis, dit Louis de Carmontelle,1717,Paris,1806,Paris,Poitiers,CARMONTELLE, Louis Carrogis, dit Louis de Carmontelle
tc0168,Corneille,Pierre,1606,Rouen,1684,Paris,1647,CORNEILLE, Pierre
tc0321,Donneau de visé,Jean,1638,Paris,1710,Paris,,DONNEAU DE VISÉ, Jean
tc0131,Carmontelle,Louis Carrogis, dit Louis de Carmontelle,1717,Paris,1806,Paris,Poitiers,CARMONTELLE, Louis Carrogis, dit Louis de Carmontelle
tc0563,Moliere,,1622,Paris,1673,Paris,,MOLIERE
tc0250,Cyrano,Hercule Savinien, dit CYRANO de BERGERAC,1619,Paris,1655,Sannois,,CYRANO, Hercule Savinien, dit CYRANO de BERGERAC
tc0252,Dancourt,Florent CARTON dit,1661,Fontainebleau,1725,Courcelles-le-Roi,,DANCOURT, Florent CARTON dit
tc0780,Voltaire,,1694,Paris,1778,Paris,1746,VOLTAIRE
tc0494,Lesage,,,,,,,LESAGE et DORNEVAL
tc0494,Dorneval,,,,,,,LESAGE et DORNEVAL
tc0568,Molière,,1622,Paris,1673,Paris,,MOLIÈRE
tc0292,Dancourt,Florent CARTON dit,1661,Fontainebleau,1725,Courcelles-le-Roi,,DANCOURT, Florent CARTON dit
tc0012,Anonyme,,,,,,,Anonyme
tc0274,Dancourt,Florent CARTON dit,1661,Fontainebleau,1725,Courcelles-le-Roi,,DANCOURT, Florent CARTON dit
tc0748,Taconet,Toussaint-Gaspard,1730,Paris,1774,Paris,,TACONET, Toussaint-Gaspard
tc0566,Molière,,1622,Paris,1673,Paris,,Molière
tc0634,Quinault,Philippe,1635,Paris,1688,Paris,1670,QUINAULT, Philippe
tc0618,Guilbert-pixerécourt,René Charles,1773,Nancy,1844,Nancy,,GUILBERT-PIXERÉCOURT, René Charles
tc0693,Rosimond,DUMESNIL Jean-Baptiste dit,1640,,1686,,,ROSIMOND, DUMESNIL Jean-Baptiste dit
tc0601,Ouzicourt,M. d',1???,,17??,,,OUZICOURT, M. d'
tc0701,Rotrou,Jean,1609,Dreux,1650,Dreux,,ROTROU, Jean
tc0442,La calprenede,Gautier Costes de,1609,château de Toulgou à Salignac,1663,Les Andelys,1673,LA CALPRENEDE, Gautier Costes de
tc0660,Racine,Jean,1639,La Ferté Millon,1699,Paris,1673,RACINE, Jean
tc0148,Chabanon,Michel Paul Guy de,1730,Saint-omingue,1792,Paris,1780,CHABANON, Michel Paul Guy de
tc0124,Carmontelle,Louis Carrogis, dit Louis de Carmontelle,1717,Paris,1806,Paris,Poitiers,CARMONTELLE, Louis Carrogis, dit Louis de Carmontelle
tc0534,Marivaux,,1688,Auvergne,1763,Paris,1743,MARIVAUX
tc0392,Florian,Jean Pierre Claris de,1755,,1794,Paris,,FLORIAN, Jean Pierre Claris de
tc0315,Diderot,Denis,1713,Langres,1784,Paris,,DIDEROT, Denis
tc0645,Quinault,Philippe,1635,Paris,1688,Paris,1670,QUINAULT, Philippe
tc0325,Dorimond,Nicolas Drouin dit,1628,,1673,,,DORIMOND, Nicolas Drouin dit
tc0092,Boursault,Edme,1638,Mussy-l Evêque,1701,Paris,,BOURSAULT, Edme
tc0251,Dalibray,Charles Vion de,1600,1653,,,,DALIBRAY, Charles Vion de
tc0388,Du ryer,Pierre,1605,Paris,1658,Paris,,DU RYER, Pierre
tc0228,Corneille,Thomas,1625,Rouen,1709,Les Andelys,1685,CORNEILLE, Thomas
tc0603,Pain,Joseph-Marie,1773,,1830,,,PAIN, Joseph-Marie
tc0237,Crébillon,Prosper J. de,1674,Dijon,1762,Paris,1731,CRÉBILLON, Prosper J. de
tc0233,Crébillon,Prosper J. de,1674,Dijon,1762,Paris,1731,CRÉBILLON, Prosper J. de
tc0110,Cailleau,André-Charles (1731-1798),1731,Touraine,1798,Paris,1746,CAILLEAU, André-Charles (1731-1798)
tc0036,Barante,,,,,,,BARANTE et DUFESNY
tc0036,Dufesny,,,,,,,BARANTE et DUFESNY
tc0303,Delavigne,Casimir,1793,,1843,,,DELAVIGNE, Casimir
tc0271,Dancourt,Florent CARTON dit,1661,Fontainebleau,1725,Courcelles-le-Roi,,DANCOURT, Florent CARTON dit
tc0436,Henault d'armorezan,Charles-Jean-François,1685,Paris,1770,Paris,1723,HENAULT d'ARMOREZAN, Charles-Jean-François
tc0596,Nivelle de la chaussée,Pierre,1692,Paris,1754,Paris,1736,NIVELLE de la CHAUSSÉE, Pierre
tc0718,Sallebray,Monsieur de,16??,,16??,,,SALLEBRAY, Monsieur de
tc0423,Gueullette,Thomas-Simon,1683,Paris,1766,Charenton,,GUEULLETTE, Thomas-Simon
tc0727,Scarron,Paul,1610,Paris,1660,Paris,,SCARRON, Paul
tc0602,Pain,,1773,,1830,,,PAIN et RIOU
tc0602,Riou,,1773,,1830,,,PAIN et RIOU
tc0117,Campistron,Jean G. de,1656,Toulouse,1713,Toulouse,1701,CAMPISTRON, Jean G. de
tc0658,Racine,Jean,1639,La Ferté Millon,1699,Paris,1673,RACINE, Jean
tc0340,Dufresny,Charles,1657,Paris,1724,Paris,,DUFRESNY, Charles
tc0460,La fontaine,Jean de,1621,Château-Thierry,1695,Paris,,LA FONTAINE, Jean de
tc0379,Du ryer,Pierre,1605,Paris,1658,Paris,,DU RYER, Pierre
tc0445,La calprenede,Gautier Costes de,1609,château de Toulgou à Salignac,1663,Les Andelys,1673,LA CALPRENEDE, Gautier Costes de
tc0684,Regnard,Jean-François,1655,Paris,1709,château de grillon, Dourdan,,REGNARD, Jean-François
tc0605,Palissot de montenoy,Charles,1730,Nancy,1814,Paris,,PALISSOT de MONTENOY, Charles
tc0183,Corneille,Pierre,1606,Rouen,1684,Paris,1647,CORNEILLE, Pierre
tc0430,Gueullette,Thomas-Simon,1683,Paris,1766,Charenton,,GUEULLETTE, Thomas-Simon
tc0621,Poinsinet de sivry,Antoine-Alexandre-Henri,1735,Fontainebleau,1769,Guadalquivir,,POINSINET de SIVRY, Antoine-Alexandre-Henri
tc0595,Nivelle de la chaussée,Pierre,1692,Paris,1754,Paris,1736,NIVELLE de la CHAUSSÉE, Pierre
tc0591,Nadal,Augustin,1659,Poitiers,1741,,Poitiers,NADAL, Augustin
tc0447,La calprenede,Gautier Costes de,1609,château de Toulgou à Salignac,1663,Les Andelys,1673,LA CALPRENEDE, Gautier Costes de
tc0670,Regnard,Jean-François,1655,Paris,1709,château de grillon, Dourdan,,REGNARD, Jean-François
tc0736,Scudery,Georges de,1601,Le Havre,1667,Paris,1649,SCUDERY, Georges de
tc0561,Molière,,1622,Paris,1673,Paris,,MOLIÈRE
tc0458,La fontaine,Jean de,1621,Château-Thierry,1695,Paris,,LA FONTAINE, Jean de
tc0459,La fontaine,Jean de,1621,Château-Thierry,1695,Paris,,LA FONTAINE, Jean de
tc0381,Du ryer,Pierre,1605,Paris,1658,Paris,,DU RYER, Pierre
tc0414,Gudin de la brenellerie,Paul-Philippe,1738,Paris,1820,Paris,,GUDIN de la BRENELLERIE, Paul-Philippe
tc0231,Crébillon,Prosper J. de,1674,Dijon,1762,Paris,1731,CRÉBILLON, Prosper J. de
tc0196,Corneille,Pierre,1606,Rouen,1684,Paris,1647,CORNEILLE, Pierre
tc0500,Magnon,Jean,1601,Bresse,1655,Paris,,MAGNON, Jean
tc0258,Dancourt,Florent CARTON dit,1661,Fontainebleau,1725,Courcelles-le-Roi,,DANCOURT, Florent CARTON dit
tc0537,Marivaux,,1688,Auvergne,1763,Paris,1743,MARIVAUX
tc0740,Sedaine,Michel-Jean,1719,Paris,1797,Paris,,SEDAINE, Michel-Jean
tc0125,Carmontelle,Louis Carrogis, dit Louis de Carmontelle,1717,Paris,1806,Paris,Poitiers,CARMONTELLE, Louis Carrogis, dit Louis de Carmontelle
tc0799,Voltaire,,1694,Paris,1778,Paris,1746,VOLTAIRE
tc0302,Dancourt,Florent CARTON dit,1661,Fontainebleau,1725,Courcelles-le-Roi,,DANCOURT, Florent CARTON dit
tc0417,Guerin de bouscal,Daniel,161?,,1675,,,GUERIN de BOUSCAL, Daniel
tc0205,Corneille,Thomas,1625,Rouen,1709,Les Andelys,1685,CORNEILLE, Thomas
tc0232,Crébillon,Prosper J. de,1674,Dijon,1762,Paris,1731,CRÉBILLON, Prosper J. de
tc0652,Racine,Jean,1639,La Ferté Millon,1699,Paris,1673,RACINE, Jean
tc0088,Boursault,Edme,1638,Mussy-l Evêque,1701,Paris,,BOURSAULT, Edme
tc0371,Durant,Catherine,16??,,1736,,,DURANT, Catherine
tc0772,Voltaire,,1694,Paris,1778,Paris,1746,VOLTAIRE
tc0268,Dancourt,Florent CARTON dit,1661,Fontainebleau,1725,Courcelles-le-Roi,,DANCOURT, Florent CARTON dit
tc0193,Corneille,Pierre,1606,Rouen,1684,Paris,1647,CORNEILLE, Pierre
tc0026,Armand,Huguet Armand dit,1699,Richelieu,1765,Paris,,ARMAND, Huguet Armand dit
tc0272,Dancourt,Florent CARTON dit,1661,Fontainebleau,1725,Courcelles-le-Roi,,DANCOURT, Florent CARTON dit
tc0502,Magnon,Jean,1601,Bresse,1655,Paris,,MAGNON, Jean
tc0102,Boyer,Claude,1618,Albi,1698,Paris,1666,BOYER, Claude
tc0411,Goulard,Jean-François-Thomas,1755,Montpellier,1817,(inconnu),,GOULARD, Jean-François-Thomas
tc0497,Linant,Michel,1708,Louviers,1749,Paris,,LINANT, Michel
tc0687,Restif de le bretonne,Edme,1734,Sacy,1805,Paris,,RESTIF DE LE BRETONNE, Edme
tc0385,Du ryer,Pierre,1605,Paris,1658,Paris,,DU RYER, Pierre
tc0790,Voltaire,,1694,Paris,1778,Paris,1746,VOLTAIRE
tc0640,Quinault,Philippe,1635,Paris,1688,Paris,1670,QUINAULT, Philippe
tc0620,Poinsinet de sivry,Louis,1733,Versailles,1804,Guadalquivir,,POINSINET de SIVRY, Louis
tc0254,Dancourt,Florent Carton dit,1661,Paris,1725,Paris,,DANCOURT, Florent Carton dit
tc0083,Boursault,Edme,1638,Mussy-l'Evêque,1701,Paris,,BOURSAULT, Edme
tc0714,Saint-aignan,Etienne,1773,,1824,,,SAINT-AIGNAN, Etienne
tc0046,Beaunoir,Alexandre-Louis-Bertrand Robineau dit de,17460,Paris,1823,Paris,,BEAUNOIR, Alexandre-Louis-Bertrand Robineau dit de
tc0161,Colle,Charles,1709,Paris,1783,Paris,,COLLE, Charles
tc0516,Marivaux,,1688,Auvergne,1763,Paris,1743,MARIVAUX
tc0045,Beaunoir,Alexandre-Louis-Bertrand Robineau dit de,1746,Paris,1823,Paris,,BEAUNOIR, Alexandre-Louis-Bertrand Robineau dit de
tc0154,Champmeslé,Charles Chevillet dit,1642,Paris,1701,Paris,,CHAMPMESLÉ, Charles Chevillet dit
tc0712,Rousseau,Jean Baptiste,1670,Paris,1741,Bruxelles,1743,ROUSSEAU, Jean Baptiste
tc0717,Saint-priest,Commandant,,,,,,SAINT-PRIEST, Commandant
tc0362,Dupaty,Emmanuel,1775,Blanquefort,1851,Paris,1647,DUPATY, Emmanuel
tc0677,Regnard,Jean-François,1655,Paris,1709,château de grillon, Dourdan,,REGNARD, Jean-François
tc0356,Regnard,Jean-François,1655,Paris,1709,château de grillon, Dourdan,,REGNARD, Jean-François
tc0623,Poinsinet de sivry,Louis,1733,Versailles,1804,,,POINSINET de SIVRY, Louis
tc0659,Racine,Jean,1639,La Ferté Millon,1699,Paris,1673,RACINE, Jean
tc0656,Racine,Jean,1639,La Ferté Millon,1699,Paris,1673,RACINE, Jean
tc0575,Molière,,1622,Paris,1673,Paris,,Molière
tc0606,Palissot de montenoy,Charles,1730,Nancy,1814,Paris,,PALISSOT de MONTENOY, Charles
tc0089,Boursault,Edme,1638,Mussy-l Evêque,1701,Paris,,BOURSAULT, Edme
tc0151,Chamfort,Sébatien-Roch-Nicolas de,1741,Clermont,1794,Paris,1781,CHAMFORT, Sébatien-Roch-Nicolas de 
tc0234,Crébillon,Prosper J. de,1674,Dijon,1762,Paris,1731,CRÉBILLON, Prosper J. de
tc0732,Scudery,Georges de,1601,Le Havre,1667,Paris,1649,SCUDERY, Georges de
tc0118,Campistron,Jean G. de,1656,Toulouse,1713,Toulouse,1701,CAMPISTRON, Jean G. de
