,idno,author-name,title,year,genre,form,decade
tc0368,tc0368,Durant,Oisivité est mère de tous les vices,(inconnue),Proverbe,prose,(inconnue0s
tc0626,tc0626,Pompigny,Le noeud d'amour,1779,Comédie,mixte,1770s
tc0709,tc0709,Rousseau,Narcisse ou l'amant de lui-même,1752,Comédie,prose,1750s
tc0394,tc0394,Florian,Héro et léandre,1784,Monologue lyrique,prose,1780s
tc0776,tc0776,Voltaire,L'envieux,(non représentée),Tragédie,vers,(non représentée0s
tc0331,tc0331,Dorneval,L'opéra comique assiégé,1730,Opéra comique,mixte,1730s
tc0103,tc0103,Boyer,Porus ou la générosité d'alexandre,n.av.,Tragédie,vers,n.av0s
tc0560,tc0560,Molière,L'école des maris,1661,Comédie,vers,1660s
tc0508,tc0508,Marivaux,Annibal,1720,Tragédie,vers,1720s
tc0444,tc0444,La calprenede,Le comte d'essex,1636,Tragédie,vers,1630s
tc0450,tc0450,La calprenede,Pahlante,1640,Tragédie,vers,1640s
tc0265,tc0265,Dancourt,Second chapitre du diable boiteux,1707,Comédie,prose,1700s
tc0491,tc0491,Le mierre,La veuve du malabar,1770,Tragédie,vers,1770s
tc0569,tc0569,Molière,Le malade imaginaire,1673,Comédie,mixte,1670s
tc0663,tc0663,Racine,Les plaideurs,1668,Comédie,vers,1660s
tc0476,tc0476,La motte,La matrone d'éphèse,1723,Comédie,prose,1720s
tc0726,tc0726,Scarron,Le gardien de soi-même,1654,Comédie,vers,1650s
tc0739,tc0739,Sedaine,Les défauts supposés,1788,Comédie,vers,1780s
tc0477,tc0477,La motte,Scanderberg,1735,Tragédie lyrique,vers,1730s
tc0681,tc0681,Regnard,Les ménechmes,1705,Comédie,vers,1700s
tc0306,tc0306,Desfontaines,Perside ou la suite d'ibrahim bassa,1642,Tragédie,vers,1640s
tc0200,tc0200,Corneille,Ariane,1672,Tragédie,vers,1670s
tc0097,tc0097,Boyer,Fédéric,1659,Tragi-comédie,vers,1650s
tc0203,tc0203,Corneille,Bradamante,1695,Tragédie,vers,1690s
tc0518,tc0518,Marivaux,La fausse suivante ou le fourbe puni,1724,Comédie,prose,1720s
tc0164,tc0164,Corneille,Andromede,1650,Tragédie,vers,1650s
tc0707,tc0707,Rousseau,L'engagement téméraire,1747,Bergerie,vers,1740s
tc0787,tc0787,Voltaire,Oreste,1750,Tragédie,vers,1750s
tc0698,tc0698,Rotrou,Antigone,1637,Tragédie,vers,1630s
tc0788,tc0788,Voltaire,Les originaux ou monsieur du cap-vert,1732,Comédie,prose,1730s
tc0643,tc0643,Quinault,La mere coquette ou les amants brouilles,1665,Comédie,vers,1660s
tc0216,tc0216,Corneille,Le geôlier de soi-même,1655,Comédie,vers,1650s
tc0223,tc0223,Corneille,La mort de l'empereur commode,1657,Tragédie,vers,1650s
tc0222,tc0222,Corneille,La mort d'achille,1673,Tragédie,vers,1670s
tc0189,tc0189,Corneille,Sertorius,1662,Tragédie,vers,1660s
tc0009,tc0009,(anonyme),L'actrice nouvelle,n.av.,Comédie,vers,n.av0s
tc0123,tc0123,Carmontelle,Alménorade,1768,Proverbe,vers,1760s
tc0374,tc0374,Du ryer,Alcimédon,1635,Tragi-comédie,vers,1630s
tc0261,tc0261,Dancourt,Les curieux de compiègne,1698,Comédie,prose,1690s
tc0101,tc0101,Boyer,Oropaste ou le faux tonaxare,1662,Tragédie,vers,1660s
tc0662,tc0662,Racine,Les plaideurs,1668,Comédie,vers,1660s
tc0357,tc0357,n.av.,La naissance d'amadis,1694,Comédie,mixte,1690s
tc0413,tc0413,Gresset,Édouard iii,1740,Tragédie,vers,1740s
tc0353,tc0353,Dufresny,La réconciliation normande,1719,Comédie,vers,1710s
tc0344,tc0344,Du fresny,Le faux instinct,1707,Comédie,prose,1700s
tc0248,tc0248,Cubières-palmézeaux,Oreste et les furies,1788,Mélodrame,prose,1780s
tc0220,tc0220,Corneille,Médée,1693,Opéra,vers,1690s
tc0386,tc0386,Du ryer,Scévole,1646,Tragédie,vers,1640s
tc0132,tc0132,Carmontelle,Les désespérés de l'opéra,(inconnue),Proverbe,prose,(inconnue0s
tc0011,tc0011,(anonyme),Le club des dames ou le retour de descartes,(non représentée),Comédie,prose,(non représentée0s
tc0105,tc0105,Boyer,Caton,(inconnue),Tragédie,prose,(inconnue0s
tc0756,tc0756,Tristan l_hermite,Le parasite,1654,Comédie,vers,1650s
tc0582,tc0582,Molière,Le tartuffe ou l'hypocrite,n.av.,Comédie,vers,n.av0s
tc0492,tc0492,Lesage,Arlequin mahomet,1714,Comédie,vers,1710s
tc0735,tc0735,Scudery,Ligdamon et lidias,1630,Tragi-comédie,vers,1630s
tc0034,tc0034,Barante,Arlequin misanthrope,1696,Comédie,mixte,1690s
tc0542,tc0542,Marmontel,Hercule mourant,1761,Opéra,vers,1760s
tc0179,tc0179,Corneille,Le menteur,1642,Comédie,vers,1640s
tc0617,tc0617,Piron,La métromanie,1733,Comédie,vers,1730s
tc0548,tc0548,Molière,Les amants magnifiques,n.av.,Comédie,mixte,n.av0s
tc0664,tc0664,Racine,La thébaïde ou les frères ennemis,1664,Tragédie,vers,1660s
tc0446,tc0446,La calprenede,La mort des enfants d'hérode ou suite de mariane ,1636,Tragédie,vers,1630s
tc0452,tc0452,La croix,La guerre comique ou la défense de l'école des femmes,(non représentée),Comédie,vers,(non représentée0s
tc0100,tc0100,Boyer,La mort des enfants de brute,1647,Tragédie,vers,1640s
tc0437,tc0437,Hoffmann,L'original,1796,Comédie,mixte,1790s
tc0376,tc0376,Du ryer,Anaxandre,1654,Tragi-comédie,vers,1650s
tc0160,tc0160,Colardeau,Astarbé,1758,Tragédie,vers,1750s
tc0432,tc0432,Guibert,Les filles a marier,1768,Comédie,vers,1760s
tc0647,tc0647,Quinault,Stratonice,1660,Tragi-comédie,vers,1660s
tc0066,tc0066,Boisrobert,Cassandre comtesse de barcelone,1653,Tragi-comédie,prose,1650s
tc0471,tc0471,La harpe,Les muses rivales,1779,Comédie,vers,1770s
tc0116,tc0116,Campistron,Arminus,1684,Tragédie,vers,1680s
tc0158,tc0158,Chevalier,Les amours de calotins,1664,Comédie,vers,1660s
tc0242,tc0242,Cubières-palmézeaux,La diligence de lyon,1777,Comédie,prose,1770s
tc0136,tc0136,Carmontelle,Le lièvre,(inconnue),Proverbe,prose,(inconnue0s
tc0342,tc0342,Du fresny,L'esprit de contradiction,1700,Comédie,prose,1700s
tc0230,tc0230,Coupigny,Hommage du petit vaudeville au grand racine,1798,Vaudeville,mixte,1790s
tc0049,tc0049,n.av.,La journée des dupes,(inconnue),Tragi-comédie,prose,(inconnue0s
tc0528,tc0528,Marivaux,La méprise,1734,Comédie,prose,1730s
tc0240,tc0240,Cubières-palmézeaux,Les bracelets,(inconnue),Comédie,prose,(inconnue0s
tc0565,tc0565,Molière,Les fourberies de scapin,1671,Comédie,prose,1670s
tc0052,tc0052,Biancolelli,Agnès de chaillot,1723,Comédie,mixte,1720s
tc0622,tc0622,Poinsinet,Les fra-maçonnes,1754,Parodie,vers,1750s
tc0393,tc0393,Florian,Les deux billets,1779,Comédie,prose,1770s
tc0771,tc0771,Voltaire,Le dépostaire,(non représentée),Comédie,vers,(non représentée0s
tc0208,tc0208,Corneille,La comtesse d'orgueil,1653,Comédie,vers,1650s
tc0416,tc0416,Guerin de bouscal,Don quichotte de la manche,1645,Tragi-comédie,vers,1640s
tc0711,tc0711,Rousseau,Le café,1694,Comédie,prose,1690s
tc0005,tc0005,Alain,L'épreuve réciproque,1711,Comédie,prose,1710s
tc0126,tc0126,Carmontelle,L'avocat consultant,1768,Proverbe,prose,1760s
tc0168,tc0168,Corneille,Cinna ou la clémence d'auguste,1639,Tragédie,vers,1630s
tc0700,tc0700,Rotrou,Cosroës,1648,Tragédie,vers,1640s
tc0321,tc0321,Donneau de visé,Zélinde ou la véritable crtique de l'école des femmes ou la critique de la critique,1663,Comédie,prose,1660s
tc0225,tc0225,Corneille,Pyrrhus,1661,Tragédie,vers,1660s
tc0366,tc0366,Durant,Bonne renomée vaut mieux que ceintur dorée,(inconnue),Proverbe,prose,(inconnue0s
tc0697,tc0697,Rotrou,Amélie,1633,Tragi-comédie,vers,1630s
tc0206,tc0206,Corneille,Circé,1677,Tragédie,vers,1670s
tc0738,tc0738,Scudery,Le vassal généreux - tragi-comédie,1632,Tragi-comédie,vers,1630s
tc0765,tc0765,Voltaire,Adélaïde du guesclin,1734,Tragédie,vers,1730s
tc0510,tc0510,Marivaux,La colonie,1750,Comédie,prose,1750s
tc0431,tc0431,Gueullette,Deuxième parade,1715,Farce,prose,1710s
tc0008,tc0008,Andrieux,Anaximandre,1782,Comédie,vers,1780s
tc0428,tc0428,Gueullette,Léandre hongre,1720,Parade,prose,1720s
tc0001,tc0001,Aigueberre,L'avare amoureux,(non représentée),Comédie,prose,(non représentée0s
tc0517,tc0517,Marivaux,Les fausses confidences,1737,Comédie,prose,1730s
tc0421,tc0421,Gueullette,Caracataca et caracataqué,1720,Farce,prose,1720s
tc0512,tc0512,Marivaux,Le dénouement imprévu,1724,Comédie,prose,1720s
tc0249,tc0249,Cyrano,La mort d'agrippine,1654,Tragédie,vers,1650s
tc0300,tc0300,Dancourt,Les vendanges,1694,Comédie,mixte,1690s
tc0721,tc0721,Saurin,Spartacus,1760,Tragédie,vers,1760s
tc0369,tc0369,Durant,On ne connait pas le vin au cercle,(non représentée),Proverbe,prose,(non représentée0s
tc0226,tc0226,Corneille,Stilicon,1660,Tragédie,vers,1660s
tc0245,tc0245,Cubières-palmézeaux,La lacrymanie,(inconnue),Comédie,vers,(inconnue0s
tc0506,tc0506,Maréchal,Le jugement dernier des rois,1793,Comédie,prose,1790s
tc0137,tc0137,Carmontelle,Le pari,1768,Proverbe,prose,1760s
tc0283,tc0283,Dancourt,Nouveau prologue,1703,Comédie,prose,1700s
tc0175,tc0175,Corneille,L'illusion comique,1636,Comédie,vers,1630s
tc0654,tc0654,Racine,Bajazet,1672,Tragédie,vers,1670s
tc0131,tc0131,Carmontelle,Condamner sans entendre ou la statue,(inconnue),Proverbe,prose,(inconnue0s
tc0250,tc0250,Cyrano,Le pédant joué,1654,Comédie,prose,1650s
tc0388,tc0388,Du ryer,Les vendanges de suresnes,1636,Comédie,vers,1630s
tc0228,tc0228,Corneille,Timocrate,1656,Tragédie,vers,1650s
tc0603,tc0603,Pain,L'appartement a louer,1799,Comédie,mixte,1790s
tc0237,tc0237,Crébillon,Le triumvirat ou la mort de cicéron,1754,Tragédie,vers,1750s
tc0233,tc0233,Crébillon,Électre,1708,Tragédie,vers,1700s
tc0110,tc0110,Cailleau,Les tragédies de m,n.av.,Tragédie,vers,n.av0s
tc0036,tc0036,n.av.,Pasquin et marforio,1697,Comédie,mixte,1690s
tc0303,tc0303,Delavigne,Les comédiens,1820,Comédie,vers,1820s
tc0271,tc0271,Dancourt,La femme d'intrigues,1692,Comédie,prose,1690s
tc0436,tc0436,Henault d'armorezan,Marius,1715,Tragédie,vers,1710s
tc0596,tc0596,Nivelle de la chaussée,La gouvernante,1744,Comédie,vers,1740s
tc0718,tc0718,Sallebray,La belle égyptienne,1641,Tragi-comédie,vers,1640s
tc0423,tc0423,Gueullette,La chaste isabelle,1720,Farce,prose,1720s
tc0727,tc0727,Scarron,L'héritier ridicule ou la dame intéressée,1659,Comédie,vers,1650s
tc0602,tc0602,n.av.,Les chouans ou la républicaine de malestroit,1795,Trait historique,mixte,1790s
tc0117,tc0117,Campistron,Phocion,1688,Tragédie,vers,1680s
tc0658,tc0658,Racine,Iphigénie,1674 1674,Tragédie,vers,1674 1670s
tc0340,tc0340,Dufresny,Le départ des comédiens,1794,Comédie,mixte,1790s
tc0460,tc0460,La fontaine,Galatée,(non représenté),Opéra,vers,(non représenté0s
tc0379,tc0379,Du ryer,Cléomédon,n.av.,Tragi-comédie,vers,n.av0s
tc0445,tc0445,La calprenede,Édouard,1638,Tragi-comédie,vers,1630s
tc0251,tc0251,Dalibray,Soliman,1637,Tragi-comédie,mixte,1630s
tc0563,tc0563,Moliere,Les femmes savantes,1672,Comédie,vers,1670s
tc0092,tc0092,Boursault,La satire des satires,1694,Comédie,vers,1690s
tc0645,tc0645,Quinault,Proserpine,1680,Tragédie,vers,1680s
tc0252,tc0252,Dancourt,Les agioteurs,1710,Comédie,prose,1710s
tc0780,tc0780,Voltaire,Les lois de minos,1774,Tragédie,vers,1770s
tc0494,tc0494,n.av.,L'île du gougou,1720,Comédie,prose,1720s
tc0568,tc0568,Molière,La jalousie du barbouillé,1650,Farce,prose,1650s
tc0292,tc0292,Dancourt,La parisienne,1691,Comédie,prose,1690s
tc0012,tc0012,Anonyme,Dialogue entre voltaire et rousseau,(inconnue),Comédie,mixte,(inconnue0s
tc0274,tc0274,Dancourt,La foire de besons,1695,Comédie,mixte,1690s
tc0748,tc0748,Taconet,Les époux par chicane,1759,Parodie,mixte,1750s
tc0566,tc0566,Molière,George dandin ou le mari confondu,1668,Comédie,prose,1660s
tc0634,tc0634,Quinault,Amadis,1684,Tragédie en musique,vers,1680s
tc0618,tc0618,Guilbert-pixerécourt,Victor,1798,Drame,prose,1790s
tc0693,tc0693,Rosimond,Avocat savetier,1670,Comédie,vers,1670s
tc0601,tc0601,Ouzicourt,Roméo et juliette,(inconnue),Drame,vers,(inconnue0s
tc0701,tc0701,Rotrou,Don bernard de cabrere,1646,Tragi-comédie,vers,1640s
tc0442,tc0442,La calprenede,La bradamante,1636,Tragi-comédie,vers,1630s
tc0660,tc0660,Racine,Phèdre,1677,Tragédie,vers,1670s
tc0148,tc0148,Chabanon,Eudoxie,(inconnue),Tragédie,vers,(inconnue0s
tc0124,tc0124,Carmontelle,À trompeur,1768,Proverbe,prose,1760s
tc0534,tc0534,Marivaux,La provinciale,1750,Comédie,prose,1750s
tc0392,tc0392,Florian,Le bon père,1790,Comédie,prose,1790s
tc0315,tc0315,Diderot,Est-il bon,(non représentée),Comédie,prose,(non représentée0s
tc0325,tc0325,Dorimond,La comédie de la comédie,(inconnue),Comédie,vers,(inconnue0s
tc0734,tc0734,Scudery,Le fils supposé,1645,Comédie,vers,1640s
tc0204,tc0204,Corneille,Camma,1661,Tragédie,vers,1660s
tc0480,tc0480,Le boulanger de chalussay,Elomire hypocondre ou les médecins vengés,n.av.,Comédie,vers,n.av0s
tc0406,tc0406,Gillet de la tessonerie,Le campagnard,1656,Comédie,vers,1650s
tc0343,tc0343,Dufresny,Le faux honnête homme,1703,Comédie,prose,1700s
tc0016,tc0016,(anonyme),Oh ! voilà bien le diable ! comédie,(non représentée),Comédie,mixte,(non représentée0s
tc0007,tc0007,Soulas d'allainval,L'hiver,1733,Comédie,mixte,1730s
tc0611,tc0611,Pellegrin,Tibère,1726,Tragédie,vers,1720s
tc0144,tc0144,Carmontelle,La veuve avare ou à trompeur trompeur et demi comédie,(inconnue),Proverbe,prose,(inconnue0s
tc0676,tc0676,Regnard,Les folies amoureuses,1696,Comédie,vers,1690s
tc0546,tc0546,Mercier,Les tombeaux de vérone,(inconnue),Drame,prose,(inconnue0s
tc0281,tc0281,Dancourt,L'impromptu de livry,1705,Comédie-ballet,mixte,1700s
tc0095,tc0095,Boyer,Aristodème,1647,Tragédie,vers,1640s
tc0198,tc0198,Corneille,La veuve ou le traître trahi,1634,Comédie,vers,1630s
tc0294,tc0294,Dancourt,Renaud et armide,1697,Comédie,mixte,1690s
tc0397,tc0397,Fontenelle,Endymion,1731,Pastorale héroïque,vers,1730s
tc0800,tc0800,Voltaire,Tanis et zélide ou les rois pasteurs,(non représentée),Tragédie en musique,vers,(non représentée0s
tc0616,tc0616,Piron,Gustave wasa,1733,Tragédie,vers,1730s
tc0752,tc0752,Tristan l_hermite,Mariane,1636,Tragédie,vers,1630s
tc0418,tc0418,Gueullette,L'amant cochemard,(inconnue),Parade,vers,(inconnue0s
tc0165,tc0165,Corneille,Attila,1667,Tragédie,vers,1660s
tc0794,tc0794,Voltaire,Saül,1763,Drame,prose,1760s
tc0119,tc0119,Carbon de flins,Le mari directeur ou le déménagement du couvent,1791,Comédie,vers,1790s
tc0594,tc0594,Nivelle de la chaussée,L'école des mères,1744,Comédie,vers,1740s
tc0478,tc0478,Lantier,L'impatient,1778,Comédie,vers,1770s
tc0723,tc0723,Scarron,Don japhet d'arménie,1652,Comédie,vers,1650s
tc0704,tc0704,Rotrou,Les sosies,1646,Comédie,vers,1640s
tc0468,tc0468,La harpe,Le comte de warwik,1763,Tragédie,vers,1760s
tc0028,tc0028,Aude,L'école tragique,n.av.,Comédie,mixte,n.av0s
tc0270,tc0270,Dancourt,Les fées,1699,Comédie,mixte,1690s
tc0106,tc0106,Brécourt,L'ombre de molière,1674,Comédie,prose,1670s
tc0147,tc0147,Carrière-doisin a.,La journée de titus ou le bon prince,n.av.,Drame,prose,n.av0s
tc0277,tc0277,Dancourt,Les fonds perdus,1686,Comédie,prose,1680s
tc0556,tc0556,Molière,Le divertissement de chambord,n.av.,Ballet,vers,n.av0s
tc0337,tc0337,Dufresny,Le chevalier joueur,1697,Comédie,prose,1690s
tc0080,tc0080,Bouilly,René-descartes,1796,Trait historique,prose,1790s
tc0037,tc0037,Barbier,Le faucon,1719,Comédie,vers,1710s
tc0527,tc0527,Marivaux,Le legs,1736,Comédie,prose,1730s
tc0467,tc0467,La grange chancel,Amasis,1701,Tragédie,vers,1700s
tc0474,tc0474,La motte,Inès de castro,1723,Tragédie,vers,1720s
tc0768,tc0768,Voltaire,Le baron d'otrante,1784,Opéra Bouffe,vers,1780s
tc0625,tc0625,Poisson,Le sot vengé,1661,Comédie,vers,1660s
tc0163,tc0163,Corneille,Agésilas,1666,Tragédie,vers,1660s
tc0055,tc0055,Dominique,Les enfants trouvés,1732,Parodie,vers,1730s
tc0395,tc0395,Florian,Les jumeaux de bergame,1782,Comédie,prose,1780s
tc0038,tc0038,Barré,Candide marié,1788,Vaudeville,mixte,1780s
tc0341,tc0341,Dufresny,Le double veuvage,1702,Comédie,prose,1700s
tc0465,tc0465,La fosse,Manlius capitolinus,1698,Tragédie,vers,1690s
tc0107,tc0107,Brosse,L'aveugle clairvoyant,n.av.,Comédie,vers,n.av0s
tc0597,tc0597,Nivelle de la chaussée,Le préjugé à la mode,1735,Comédie,vers,1730s
tc0624,tc0624,Poisson,La hollande malade,1672,Comédie,vers,1670s
tc0713,tc0713,Rousseau,Jason,1696,Opéra,vers,1690s
tc0550,tc0550,Molière,Amphytrion,n.av.,Comédie,vers,n.av0s
tc0409,tc0409,Gouges,L'esclavage des noirs,1789,Drame,prose,1780s
tc0040,tc0040,Beaumarchais,L'autre tartuffe ou la mère coupable,1792,Drame,prose,1790s
tc0054,tc0054,Biancolelli pierre-françois (1680-1734),La bonne feme,1726,Parodie,mixte,1720s
tc0728,tc0728,Scarron,Le jodelet ou le maître valet,(inconnue),Comédie,vers,(inconnue0s
tc0764,tc0764,Voisenon,Hilas et zélis,1762,Pastorale,vers,1760s
tc0415,tc0415,Guerin de bouscal,Don quichotte de la manche,1645,Tragi-comédie,vers,1640s
tc0599,tc0599,Ouville,Les fausses vérités,1641,Comédie,vers,1640s
tc0571,tc0571,Molière,Le médecin malgré lui,1666,Comédie,prose,1660s
tc0319,tc0319,Donneau de visé,Les amours d'alcippe et de céphise,1660,Comédie,vers,1660s
tc0244,tc0244,Cubières-palmézeaux,Galathée,1777,Comédie,vers,1770s
tc0174,tc0174,Corneille,Horace,1639,Tragédie,vers,1630s
tc0324,tc0324,Dorimond,Les amours de trapolin,(non indiqué),Comédie,vers,(non indiqué0s
tc0554,tc0554,Moliere,La critique de l'école des femmes,1663,Comédie,prose,1660s
tc0507,tc0507,Marivaux,Les acteurs de bonne foi,1748,Comédie,prose,1740s
tc0082,tc0082,Boursault,Les deux frères gémeaux ou les menteurs qui ne mentent point,n.av.,Comédie,vers,n.av0s
tc0583,tc0583,Moline,L'inconnue persécutée,1776,Comédie,mixte,1770s
tc0129,tc0129,Carmontelle,Le café borgne,(inconnue),Proverbe,prose,(inconnue0s
tc0586,tc0586,Nadal,Antiochus,1722,Tragédie,vers,1720s
tc0426,tc0426,Gueullette,Isabelle grosse par vertu,1738,Farce,prose,1730s
tc0247,tc0247,Cubières-palmézeaux,La mort de molière,1802,Comédie,vers,1800s
tc0475,tc0475,La motte,Les machabées,1721,Tragédie,vers,1720s
tc0282,tc0282,Dancourt,L'impromptu de suresnes,1713,Comédie-ballet,mixte,1710s
tc0577,tc0577,Molière,La princesse d'élide,1664,Comédie galante,mixte,1660s
tc0262,tc0262,Dancourt,La déroute du pharaon,(non représentée),Comédie,prose,(non représentée0s
tc0047,tc0047,Bensérade,Cléopâtre,1635,Tragédie,vers,1630s
tc0657,tc0657,Racine,Esther,1689,Tragédie,vers,1680s
tc0649,tc0649,Racine,Alexandre le grand,1665,Tragédie,vers,1660s
tc0297,tc0297,Dancourt,La trahison punie,1707,Comédie,vers,1700s
tc0389,tc0389,Fabre d'eglantine,Le philinte de molière,1790,Comédie,vers,1790s
tc0229,tc0229,Coupigny,Arlequin jaloux,1797,Comédie,prose,1790s
tc0481,tc0481,Pompignan,Didon,1734,Tragédie,vers,1730s
tc0762,tc0762,Villiers,La critique du tartuffe,(non représentée),Comédie,vers,(non représentée0s
tc0522,tc0522,Marivaux,L'heureux stratagème,1733,Comédie,prose,1730s
tc0696,tc0696,Rotrou,Amarillis,1652,Pastorale,vers,1650s
tc0383,tc0383,Du ryer,Lucrèce,1638,Tragédie,vers,1630s
tc0684,tc0684,Regnard,La sérénade,1694,Comédie,mixte,1690s
tc0288,tc0288,Dancourt,La métempsycose des amours,1717,Comédie,vers,1710s
tc0314,tc0314,Desportes,La veuve coquette,1721,Comédie,mixte,1720s
tc0688,tc0688,Riccoboni père,L'écho du public,1741,Comédie,vers,1740s
tc0127,tc0127,Carmontelle,Les bons,(inconnue),Proverbe,prose,(inconnue0s
tc0264,tc0264,Dancourt,Le diable boiteux,1707,Comédie,prose,1700s
tc0347,tc0347,Dufresny,La joueuse,1709,Comédie,prose,1700s
tc0373,tc0373,Durant,Voyage de campagne,(inconnue),Proverbe,prose,(inconnue0s
tc0354,tc0354,n.av.,L'augmentation de la baguette,1693,Comédie,mixte,1690s
tc0295,tc0295,Dancourt,Le retour des officiers,1697,Comédie,prose,1690s
tc0509,tc0509,Marivaux,Arlequin poli par l'amour,1720,Comédie,prose,1720s
tc0574,tc0574,Molière,Le misanthrope ou l'atrabilaire amoureux,1666,Comédie,vers,1660s
tc0134,tc0134,Carmontelle,L'étranger,1780,Proverbe,prose,1780s
tc0499,tc0499,Magnon,Artaxerxe,1644,Tragédie,vers,1640s
tc0605,tc0605,Palissot de montenoy,Le cercle ou les originaux,1755,Comédie,prose,1750s
tc0430,tc0430,Gueullette,Première parade,1714,Farce,prose,1710s
tc0529,tc0529,Marivaux,La mère confidente,1735,Comédie,prose,1730s
tc0592,tc0592,Nericault-destouches,Le glorieux,1732,Comédie,vers,1730s
tc0150,tc0150,Chabanon,La toison d'or,(non représentée),Tragédie lyrique,prose,(non représentée0s
tc0162,tc0162,Colleville,Sophie et derville,1788,Comédie,prose,1780s
tc0192,tc0192,Corneille,La suivante,1634,Comédie,vers,1630s
tc0120,tc0120,Carbon de flins,Le réveil d'épiménide à paris comédie en un acte,1790,Comédie,vers,1790s
tc0521,tc0521,Marivaux,L'héritier de village,1725,Comédie,prose,1720s
tc0382,tc0382,Du ryer,Lisandre et caliste,1632,Tragi-comédie,vers,1630s
tc0278,tc0278,Dancourt,Le galant jardinier,1704,Comédie,prose,1700s
tc0488,tc0488,Legrand,L'usurier gentilhomme,1713,Comédie,prose,1710s
tc0350,tc0350,Dufresny,Le mariage fait et rompu,1721,Comédie,vers,1720s
tc0744,tc0744,Somaize,Le procès des précieuses en vers burlesques,n.av.,Comédie,vers,n.av0s
tc0651,tc0651,Racine,Andromaque,1667,Tragédie,vers,1660s
tc0801,tc0801,Voltaire,Zaïre,1732,Tragédie,vers,1730s
tc0002,tc0002,Aigueberre,Pan et doris,(non représentée),Pastorale,vers,(non représentée0s
tc0422,tc0422,Gueullette,Le chapeau de fortunatus,1712,Farce,prose,1710s
tc0544,tc0544,Mercier,La destruction de la ligue,1782,Drame,prose,1780s
tc0166,tc0166,Corneille,Le cid,1637,Tragédie,vers,1630s
tc0486,tc0486,Legrand,La famille extravagante,1709,Comédie,vers,1700s
tc0785,tc0785,Voltaire,Oedipe,1718,Tragédie,vers,1710s
tc0363,tc0363,Feriol de pont-de-veyle,Le somnambule,1739,Comédie,prose,1730s
tc0327,tc0327,Dorimond,La femme industrieuse,(inconnue),Comédie,vers,(inconnue0s
tc0060,tc0060,Bièvre,Le séducteur,1783,Comédie,vers,1780s
tc0063,tc0063,Bohaire-dutheil,Jésus-christ,(inconnue),Tragédie,vers,(inconnue0s
tc0627,tc0627,Prade,Arsace,1662,Tragédie,vers,1660s
tc0464,tc0464,La forge,La joueuse dupée,1664,Comédie,vers,1660s
tc0339,tc0339,Dufresny,Le dédit,1719,Comédie,vers,1710s
tc0461,tc0461,La fontaine,Ragotin ou le roman comique,(non représentée),Comédie,vers,(non représentée0s
tc0730,tc0730,Scarron,Le prince corsaire,1658,Comédie,vers,1650s
tc0675,tc0675,Regnard,Les filles errantes,1690,Comédie,prose,1690s
tc0754,tc0754,Tristan l_hermite,La mort de sénèque,1644,Tragédie,vers,1640s
tc0293,tc0293,Dancourt,Le prix de l'arquebuse,1717,Comédie,mixte,1710s
tc0280,tc0280,Dancourt,L'impromptu de garnison,1692,Comédie,prose,1690s
tc0775,tc0775,Voltaire,L'enfant prodigue,1736,Comédie,vers,1730s
tc0749,tc0749,Taconet,Nostradamus,1756,Parodie,vers,1750s
tc0170,tc0170,Corneille,Clitandre,1632,Tragédie,vers,1630s
tc0020,tc0020,Archambault,Les étrennes de l'amitié,1780,Comédie,vers,1780s
tc0457,tc0457,La fontaine,Daphné,(non représentée),Opéra,vers,(non représentée0s
tc0079,tc0079,Boucher,Champagne le coiffeur,1662,Comédie,vers,1660s
tc0543,tc0543,Mathieu,La magicienne étrangère,(non représentée),Tragédie,vers,(non représentée0s
tc0098,tc0098,Boyer,Judith,1695,Tragédie,vers,1690s
tc0090,tc0090,Boursault,Les mots a la mode,1694,Comédie,vers,1690s
tc0435,tc0435,Hauteroche,Le cocher supposé,1684,Comédie,prose,1680s
tc0025,tc0025,Dorvigny,On fait ce qu'on peut,1779,Proverbe,prose,1770s
tc0789,tc0789,Voltaire,L'orphelin de la chine,1755,Tragédie,vers,1750s
tc0195,tc0195,Corneille,Tite et bérénice,1670,Comédie héroïque,vers,1670s
tc0650,tc0650,Racine,Alexandre le grand,1665,Tragédie,vers,1660s
tc0188,tc0188,Corneille,Rodogune,1644,Tragédie,vers,1640s
tc0013,tc0013,Anonyme,La matinée du comédien français,(inconnu),Proverbe,prose,(inconnu0s
tc0367,tc0367,Durant,Les jours se suivent et ne se ressemblent pas,(inconnue),Proverbe,prose,(inconnue0s
tc0759,tc0759,Vadé,L'impromptu du coeur,1757,Opéra comique,mixte,1750s
tc0489,tc0489,Le mierre,Artaxerce,1766,Tragédie,vers,1760s
tc0673,tc0673,Regnard,Le distrait,1697,Comédie,vers,1690s
tc0549,tc0549,Molière,L'amour médecin,n.av.,Comédie,prose,n.av0s
tc0702,tc0702,Rotrou,Hercule mourant,(inconnue),Tragédie,vers,(inconnue0s
tc0312,tc0312,Desjardins,Manlius,1662,Tragi-comédie,vers,1660s
tc0715,tc0715,Saint-aignan,La mort de louis xvi,(non représentée),Tragédie,vers,(non représentée0s
tc0695,tc0695,Rotrou,Agesilan de colchos,1635,Tragi-comédie,vers,1630s
tc0644,tc0644,Quinault,Persée,1682,Opéra,vers,1680s
tc0093,tc0093,Boyer,Agamemnon,1647,Tragédie,vers,1640s
